post_idx,target,stance,stance_type,explanation
3952883141,Republicans (GOP),AGAINST,EXPLICIT,"The comment refers to Republican senators as 'lawless, bought and paid for' and 'GOPe turncoats,' indicating a strong opposition."
3952883141,Immigration / immigrants,AGAINST,EXPLICIT,"The comment criticizes the senators' stance on immigration, implying opposition to their policies."
3975388305,Journalists and the press,AGAINST,EXPLICIT,"The comment refers to Dan Rather as 'lying Dan' and states that giving him an article is a waste, indicating a clear negative stance towards him and by extension, the media's decision to cover him."
4036979838,Barack Obama,AGAINST,EXPLICIT,"The comment refers to Obama as the 'former liar-in-chief,' indicating a clear negative stance."
4071478882,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment refers to 'fake polls' and 'fake news,' which directly criticizes mainstream or liberal media."
4092611503,Immigration / immigrants,AGAINST,EXPLICIT,"The comment criticizes the idea of giving amnesty to DACA recipients, indicating an against stance towards immigration policies that favor amnesty."
4119400723,Kamala Harris,AGAINST,EXPLICIT,"The comment expresses a negative opinion towards Kamala Harris, indicated by the rhetorical question 'Wow! She's that bad?', which suggests criticism or disapproval of her."
4138528515,China,AGAINST,EXPLICIT,"The comment mentions that the trade agreement assures the 3 nations more leverage to negotiate with China to reverse the trade imbalance, indicating a stance against China's trade practices."
4138528515,The economy is good,FAVOR,EXPLICIT,"The comment states that the US GDP is more than $20 trillion, which is a positive indicator of the economy."
4176830197,Woke,AGAINST,EXPLICIT,"The comment refers to 'indoctrinated millennials,' implying a negative stance towards 'woke' culture."
4218633507,Diversity (DEI),AGAINST,EXPLICIT,"The comment criticizes the backlash against the Cowboys & Indians party, implying opposition to diversity initiatives."
4218633507,Woke,AGAINST,EXPLICIT,"The comment criticizes what it perceives as excessive political correctness, which is associated with being 'woke'."
4218633507,Democrats,AGAINST,EXPLICIT,"The comment refers to 'the left' as communists, which is often associated with Democrats, showing opposition."
4218633507,Socialism / Communism,AGAINST,EXPLICIT,"The comment labels the left as communists, indicating opposition to socialism/communism."
4218633507,Gay / LGTBQ+,AGAINST,EXPLICIT,"The comment criticizes the left for supporting transgender rights in bathrooms, indicating opposition."
4218633507,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment criticizes the left, which is often associated with mainstream/liberal media, showing opposition."
4431773691,Republicans (GOP),FAVOR,IMPLICIT,The comment implies alignment with Republican views by criticizing Democrats and socialism.
4431773691,Democrats,AGAINST,EXPLICIT,The comment explicitly criticizes Democrats for promising entitlements that could bankrupt the nation.
4431773691,Socialism / Communism,AGAINST,EXPLICIT,"The comment strongly criticizes socialism, blaming it for Venezuela's issues and warning against it in the U.S."
4431773691,Politicians,AGAINST,EXPLICIT,"The comment negatively views politicians, particularly Democrats, for promising entitlements."
4431773691,Government spending,AGAINST,IMPLICIT,"The comment warns about entitlements leading to bankruptcy, implying concern about excessive government spending."
4431773691,Social welfare,AGAINST,EXPLICIT,The comment criticizes social welfare policies as leading to potential bankruptcy.
4431773691,Capitalism / Liberalism,FAVOR,IMPLICIT,The comment implies support for capitalism by opposing socialism.
4431773691,The economy is good,AGAINST,IMPLICIT,"The comment warns about the economy potentially being bankrupt, indicating a negative view."
4452531832,Fascism / Nazism,AGAINST,EXPLICIT,"The comment refers to 'nasty, little fascists,' indicating a clear negative stance towards fascism."
4473466301,Donald Trump,FAVOR,EXPLICIT,The comment expresses support for Trump by mentioning that the commenter voted for him and criticizes hosts who disrespected him.
