,Topic,Count,Name,Representation,Representative_Docsabortion
10,9,17563,9_isis_iran_syria_iraq,"['isis', 'iran', 'syria', 'iraq', 'saudi', 'assad', 'war', 'weapons', 'arabia', 'east']","['everyone knows syria will never be whole again you never know what will happen iraq is still one country somehow for now', ""so are you going to lie and pretend you don't want military action against iran or is your point that there are probably some opponents of the deal out there somewhere who don't want war with iran but do want the sanctions regime to collapse and iran to get the bomb because they think a nuclear iran is a good thing"", ""hi catkinny i don't think nato's going in anytime soon though it does beggar a few observations and questions the fsa is made up of rebels and al qaeda forces and are mostly comprised of sunnis there are a few shiite shia resistance fighters who're on the rebels side but they majority of them have allegiances to al assad the latter are being funded by iran and hezbollah it's no longer just a civil war it's sectarian violence a war between sunnis and shiites the ones trapped in the middle are the civilians if you look at statistics for all wars civilians get it the worst now damascus is seeing car bombs for the last few days with innocents caught in the crossfire one cannot simply leave their homes it's not so easy travelling across the country to refuge camps in turkey and jordan where many are being turned back some have resorted to hiding it out in old roman forts buried deep underground let's get to america's and nato's role in all this i think we're damned if we do and damned if we don't at this point whose side do we choose strategically we didn't put boots on the ground in libya either we only got involved when gaddafi tried fleeing with his enormous convoy towards nigeria and was bombed by a british nato mission he survived the bombing hid in the sewers and was summarily executed by rebels with his golden gun america and israel's easiest option is to strategically bomb the sarin wmd sites israel wouldn't want hezbollah or al qaeda getting their hands on sarin gas they've got their hands full as it is with iran stirring the pot with their yellowcake plants popping up like spring tulips obama knows that it's not so black and white going into syria it's not a war of ideologies like our war with the nazis or the communists in vietnam it's a war on religion we're a secular west it's been talked about as the west against islam we continue to ask ourselves aloud how can these people blow themselves up it's not a top down ideology it's a bottom up philosophy what's going on in syria is a war between sunnis and shiites with the outcome changing the country's makeup politically america tends to ally with the sunnis mainly because saudi arabia is sunni and we've got clandestine oil deals we put a sunni government in power in iraq but now that's being challenged by a rapidly growing shia movement iran and syria are shia and america would prefer al assad be replaced with a moderate sunni based puppet leader however al qaeda is sunni and america can't be seen aiding a sworn enemy it's a very complex situation that we're marinating over do you see now how complex this is it's not about dropping bombs more bombs have been dropped in afghanistan than all of world war ii and i'll ask you how much safer are we after years of stamping out terrorists we've given up a lot of liberties and freedoms in the name of the war against terrorism we'll continue to give up more in the coming years that's how the terrorists win but back to syria as i don't want to digress we can't really do anything right now but watch on the sidelines we could help out with refuge camps to create better conditions but that's about it right now if you watch the footage on youtube by typing syria you'd be horrified what's happening inside that country is brutal and it's chaotic""]"
11,10,17546,10_abortion_abortions_women_fetus,"['abortion', 'abortions', 'women', 'fetus', 'birth', 'pregnancy', 'life', 'woman', 'pro', 'pregnant']","['just because you are pro choice does not mean you are pro abortion nobody is pro abortion', 'its not your life or your choice most women would prefer to prevent pregnancy in the first place and not need an abortion in the second place but there are many reasons why a woman might need an abortion and it has to be a personal decision', 'it is evident hrc is quite moderate when it comes to abortion particularly late term abortion it is quite possible that hillary will agree to a reasonable ban on late term abortions lets take a look at hills comments on late term abortion clinton i have said many times that i can support a ban on late term abortions including partial birth abortions so long as the health and life of the mother is protected i ve met women who faced this heart wrenching decision toward the end of a pregnancy of course it s a horrible procedure no one would argue with that but if your life is at stake if your health is at stake if the potential for having any more children is at stake this must be a woman s choice abortion should be safe legal and rare personally would never abort but deeply values choice q do you believe personally that life begins at conception a i believe that the potential for life begins at conception i am a methodist as you know my church has struggled with this issue in fact you can look at the methodist book of discipline and see the contradiction and the challenge of trying to sort that very profound question out hillary said we can all recognize that abortion in many ways represents a sad even tragic choice to many many women hillary is no far left wing candidate on abortion']"
12,11,16410,11_police_cops_cop_officers,"['police', 'cops', 'cop', 'officers', 'black', 'officer', 'crime', 'prison', 'death', 'jury']","[""get the scandinavians to train our cops instead of the israelis stop pretending cops can investigate themselves and get the fbi to do it get the fbi to sting all the nations police departments on a random basis to find bad cops and bad precincts make it a crime for cops to turn off their cameras or tell non cops that they can't video their actions"", ""they do police there own that's why there's so much violence"", ""i did point it out in another post however i didn't see that it needed to be aid twice police officers who turn a blind eye to others abusing power are not good cops or they wouldn't turn a blind eye to begin with i don't see an alternative should we demand that more independent watch groups police the police have them put cameras on the police themselves and on their police cars or should we not have police and just let anybody and everybody do their own thing""]"
13,12,13094,12_putin_russia_russian_russians,"['putin', 'russia', 'russian', 'russians', 'trump', 'putins', 'collusion', 'election', 'campaign', 'soviet']","['would you give your vote to putin or', 'say what you will but putin did us in', 'trump putin make russia great again']"
14,13,11347,13_hair_head_hat_brain,"['hair', 'head', 'hat', 'brain', 'hands', 'hand', 'hats', 'shoes', 'pants', 'wear']","['the is less hair well trump trump is bald', 'the red hat makes him look almost as stupid as his hair', 'last person in the world who should be talking about good hair']"
15,14,9829,14_hillary_shes_clinton_bernie,"['hillary', 'shes', 'clinton', 'bernie', 'candidate', 'sanders', 'ret', 'campaign', 'vote', 'president']","['sorry but bernie sanders is going to be the next president not wall street hillary', 'hillary clinton wall street try again', 'tell us about hillary']"
16,15,9016,15_romney_mitt_romneys_obama,"['romney', 'mitt', 'romneys', 'obama', 'bain', 'tax', 'taxes', 'president', 'campaign', 'jobs']","[""pattymo would that be the mitt romney who says he knows what it's like to be unemployed because he's looking for a job himself yes he has millions in income but whatever or perhaps the mitt romney who says he knows what it's like to be a poor college student why he actually had to sell some of the shares his rich father gave him when his rich father paid for him to go to college it really is hard to know why people don't do like mitt romney when fired by people like mitt romney"", ""the only way romney can become the next president is if and that's not going to happen"", ""romney the man you don't know romney anything for a buck""]"
17,16,7711,16_bird_dog_birds_horse,"['bird', 'dog', 'birds', 'horse', 'horses', 'pig', 'rats', 'duck', 'dogs', 'ducks']","['uh ducks and geese are the only birds that have penises', ""most people don't know that but it's true believe me i mean did you know that no you didn't and who could blame you but it's really true i can tell you that much birds i mean who knew right birds"", ""well since it's your dog i think that's likely""]"
18,17,7164,17_troll_trolls_trolling_comments,"['troll', 'trolls', 'trolling', 'comments', 'comment', 'posts', 'contessa', 'post', 'youre', 'paid']","['troll vs troll', 'troll better please', 'get a life troll']"
19,18,7145,18_apple_phone_cable_windows,"['apple', 'phone', 'cable', 'windows', 'comcast', 'microsoft', 'phones', 'iphone', 'internet', 'android']","['apple for president', 'so does apple', ""no reason to get over exited by apple their greatest inventions are not iphone ipad or imac no their greatest invention are their money sucking app store and itunes apple have invented a lot one thing i'm not so sure about is weather they invented greed but my gut feeling tells me they sure came close first apple went after adobe's flash the common sharing platform for all creative people's favourite software company thereby apple successfully banned a lot of what people love to use the inernet for on their newest gadgets now they go after samsung one of the worlds leading electronic hardware companies well known for their quality and low prices why does apple attack companies that are loved by the public some say it is because apple users think different want to stand out and be a little exclusive and cool they want to be the only ones who can do this or that apple are only trying to ensure this feeling remains by their customers all over the world but that's just marketing strategy that's what apple wants their poor customers to believe and many do in reality apple is a big money sucking mahine not inerested in their customers they are out for the big buck they are after your money they want their pick pocketing fingers into every wallet in the world be it on the web or outside in the real world the reason why apple and steve jobs hates hated flash that is besides it chrashed the ios is that flash can deliver both apps music and video to any platform via the internet and therefore customers do not have to pay indulgences to apple to be freed of all sin and money savings i would reverse the apples slogan and say that apple customers do not get a big bite of the world it's the other way around apple customers are being eaten by apple in this case against samsung they are using their lawyers to ensure the patenting of a spesific movement by human hands when these come close to an electronic device well by the laws of probability even a chimp can make those movements given enough time with the i device i should think should then by patent no chimp be allowed to use a cellphone""]"
20,19,6792,19_football_sports_nfl_players,"['football', 'sports', 'nfl', 'players', 'team', 'teams', 'athletes', 'olympics', 'sport', 'game']","[""fwiw of high school athletes go on to get college sports scholarships most of these aren't close to a full ride in basketball and football to percent of college players go on into professional sports for at least a time it works out to about in high school varsity basketball players going on to the nba of course there are certain metrics revolving around height and build that can help you predict an individual's chances"", ""but why start at the olympics wouldn't we have to start with football games and other sports that divide good luck with that i am not into sports much but i don't see it happening"", 'the nfl is one of the biggest ripoffs in sports american sports are nothing but money driven just like the tobacco industry that has lied about the research into health the nfl does not care at all about damage to players as long as they can continue to take in their undeserved profits just like the tobacco industry i have come to hate american sports and the drug craze of sports players i prefer to watch real football called soccer here the real football game in foreign countries foreign sports make a great effort to keep drugs out of the sports and not take payoffs to look the other way']"
21,20,6696,20_cat_cats_kitty_kittens,"['cat', 'cats', 'kitty', 'kittens', 'feline', 'door', 'dogs', 'kitten', 'vet', 'feral']","['why not world nice make sad me cat not asked to be pet cat using you you fall down forget to feed cat cat eat you cat also have parasites that find way to human brain to make you bend to their will wake up cat lovers', ""cats cats cats cats that's the kind of thinking that got us trump s"", 'enough of this where are the cats']"
22,21,6289,21_kevin_kevins_post_think,"['kevin', 'kevins', 'post', 'think', 'hes', 'good', 'posts', 'just', 'trump', 'im']","['well done kevin good one', 'is kevin serious with this', 'good on you kevin']"
23,22,5849,22_beer_coffee_wine_drink,"['beer', 'coffee', 'wine', 'drink', 'causation', 'correlation', 'kool', 'craft', 'beers', 'drinking']","[""beer is powerful a lot of people like beer don't mess with beer"", 'and there was no beer', ""beer that's all beer""]"
24,23,5503,23_asylum_refugees_immigrants_immigration,"['asylum', 'refugees', 'immigrants', 'immigration', 'illegal', 'border', 'country', 'refugee', 'illegally', 'deported']","['another reason why illegal immigration is bad for illegal immigrants and needs to end legal immigration is good illegal immigration is bad', 'no and no and no refugees do not go through the un that is not how refugees or asylum works', ""asylum seekers also known as refugees do not have the time to go through the year immigration process required for regular immigrants to the us asylum on the other hand is not governed by the same rules as immigration sadly many americans don't think anyone deserves asylum to avoid death in their native country""]"
