,Topic,Count,Name,Representation,Representative_Docs
10,9,24963,9_gun_guns_police_carry,"['gun', 'guns', 'police', 'carry', 'criminals', 'cops', 'firearms', 'crime', 'law', 'control']","['and we have gun control laws what is your point', ""here i'll save these academic parasites the trouble of miss using public taxpayer dollars to push their own personal political agenda with this open letter to gun control nuts many more people die from abuse of alcohol than do from abuse of guns so let's bring back prohibition how did that work out last time it was tried the number of children accidentally killed by guns is less than die from bicycle accidents or house hold cleaners or swimming pools but you've probably swallowed the anti gun nut propaganda that counts as children teenage gang bangers as far as people who use guns to murder whether their spouses or anyone else are violating the law against murder and are not deterred by any gun control laws those laws only affect the law abiding by definition far more people's lives are saved by guns in the hands of the law abiding than are lost and most of the time the weapon is never fired studies have indicated guns are used for self defense purposes up to million times a year in the u s rarely did it involve the weapon being fired and many more violent crimes prevented in the first place just by the deterrence factor to criminals not knowing if their potential victims are armed inside or outside of their homes or businesses studies have shown that wherever conceal carry is allowed crimes against persons rape robbery home invasions carjackings and murder drop interviews with burglars have confirmed that the possibility of encountering an armed homeowner is their main deterrent our right to self defense which means the right to the tools to exercise that right guns including outside the home is a fundamental human right guns are the great equalizer that allows a lone small woman or elderly person the freedom to go about their lives with some peace of mind and the chance to be able to protect themselves from the young and the strong who mean them harm you could ban every gun in this country and the criminals will still be armed since they unlike the law abiding have access to the black market that the law abiding do not we do not live in north korea our borders and coasts are open authorities cannot keep out millions of tons of illegal drugs what makes you think they can keep out weapons from the international black market this is what is called living in a free society we do not curtail the freedom of law abiding citizens because some abuse that freedom we do not deny all the freedom to have a glass of wine with their steak or a beer with their pizza because some abuse liquor killing many more innocents than guns i view our nd amendment as a bellwether of our liberty no dictatorship no government that is not by and of its own citizens but is separate and in fear of the people under its rule willingly allows the people it rules the right to own guns as long as you have the right to own a gun and carry you know you still live in a free society i encourage all law abiding citizens to arm themselves get the necessary ccl and exercise that right and train train train and get in the habit of conceal carry where ever you go a widespread armed citizenry is the best and only protection against crime and terrorism besides being a well rounded individual includes knowing how to proficiently use a firearm and it is a fun hobby as well"", 'if we can save just one life with a gun we should all carry guns i like it']"
11,10,20243,10_movie_hollywood_movies_film,"['movie', 'hollywood', 'movies', 'film', 'actors', 'actor', 'films', 'watch', 'star', 'comedy']","['love that movie', 'typical hollywood movie i hear', 'great movie by the way']"
12,11,18828,11_nfl_football_sports_players,"['nfl', 'football', 'sports', 'players', 'nba', 'team', 'game', 'teams', 'fans', 'player']","['in that case the nba and nfl are dying sports', 'playing for an nfl team is not the definition of nfl great', 'nfl not for long']"
13,12,16263,12_israel_iran_palestinians_israeli,"['israel', 'iran', 'palestinians', 'israeli', 'hamas', 'palestinian', 'iranian', 'gaza', 'israelis', 'palestine']","['without the support of the us israel will do just nothing', ""no it won't because we are not at war with the palestinians israel is israel keeps thinking the u s and israel are the same country oddly they are not israel's problem with the palestinians is israel's problem"", 'good get some israel']"
14,13,15899,13_cnn_news_fox_media,"['cnn', 'news', 'fox', 'media', 'msnbc', 'propaganda', 'fake', 'journalists', 'press', 'journalism']","['if cnn is fake news then this story should not be believed', 'this is cnn', 'cnn is fake news']"
15,14,15893,14_virus_covid_vaccine_flu,"['virus', 'covid', 'vaccine', 'flu', 'vaccines', 'vaccinated', 'coronavirus', 'deaths', 'marriage', 'pandemic']","['except for the fact that their country does everything they can to make women children and honest men with values and families shackles of slavery what exactly is the dem party doing about that nothing because it s all about politics the current dem party is becoming the party of slavery of everyone in the us forcing everyone to do their bidding through fear and intimidation of a virus that has been around for decades of the population bought it initially because they didn t know about a long standing virus that s understood since no one in the public knew what they were dealing with then after months of scare tactics the general public started asking questions especially since a major strain of the flu that we get nearly every year does just as much damage yet there is no focus on the flu or even the common cold it s all covid which is interesting because all the symptoms are eerily the same after a year of scare tactics most people can read through the bs of it all after years of scare tactics and constantly political fluctuating rules of covid recommendations most of the public are not listening anymore pretty soon the general public will be outright flouting the ridiculous mask mandates encouraged by the powers that be covid will mutate just like any other virus and to think that masks will stop the spread is foolhardy it won t it never has unless everyone in the general public is wearing an n mask or better sooner or later everyone will catch the virus about have already what are we as a country going to do force people to wear masks that don t filter covid out anyway all to make the mask manufactures more wealthy if the vaccine doesn t work then why force it on everyone money that s why labs want their money good for them to go balls out and create the vaccine but then stop creating the fallacy that if you re vaccinated then you re good to go until you re not based on political preferences read between the lines people there is no doubt that covid exists and it was deliberately manipulated to have a major effect on the lungs though presents like the flu the medical community knows how to treat it now so stop with the hysterics it s a manufactured illness created by another country all countries engage in bioterrorism including our own china is no exception in fact they are the worst perpetrators given that getting the vaccine is a smart thing to do just like asking parents to vaccinate their kids against measles chickenpox etc oh i forgot we make exceptions for that until the powers that be force parents to vaccinate their kids against childhood diseases then they have no right to mandate the covid vaccine end of rant', 'covid phobia has greatly damaged the country the vaccine does not reduce infection odds for more than a month or two the vaccinated are getting spreading and dying from covid as much or more than the non vaccinated many more otherwise healthy people are suffering and dying from vaccine side effects than the covid virus today', ""and that's only covid cases and deaths they will never tell us how many died because of the vaccine""]"
16,15,14145,15_school_education_schools_teachers,"['school', 'education', 'schools', 'teachers', 'students', 'kids', 'college', 'parents', 'indoctrination', 'children']","['what will all these school kids do to their teachers when they realize they have been lied to', 'there are a lot of public school teachers going to hell', 'i completely agree with your assessment of the public school system parents need to pull their children and either home school them put them in a private school or anything besides the public schools my only point i disagree with you is to allow people to use their taxes for school choice any school that accepts tax funds gives up control to the government government should not be involved in education at all we home schooled our children made the sacrifice to also pay our taxes and do not regret for one second our decision it was worth it']"
17,16,13132,16_years_yes_worse_time,"['years', 'yes', 'worse', 'time', 'good', 'choice', 'long', 'minutes', 'days', 'end']","['yeah i could find worse', 'oh i do and not just four years from now but also years from now as well', 'end of the day more like it']"
18,17,12422,17_putin_russia_ukraine_russian,"['putin', 'russia', 'ukraine', 'russian', 'russians', 'ukrainian', 'putins', 'crimea', 'ukrainians', 'soviet']","['putin did not invade ukraine while trump was president', 'good we like putin', ""where's putin""]"
19,18,12210,18_biden_joe_bidens_harris,"['biden', 'joe', 'bidens', 'harris', 'president', 'trump', 'administration', 'dementia', 'puppet', 'senile']","['what is biden going to do about it nothing', 'biden only know how to do it from behind', 'f u biden']"
20,19,11138,19_abortion_babies_abortions_parenthood,"['abortion', 'babies', 'abortions', 'parenthood', 'baby', 'planned', 'birth', 'unborn', 'pro', 'pregnant']","['abortion is murder', 'you mean like abortion', 'so has abortion']"
21,20,10894,20_california_mayor_ca_chicago,"['california', 'mayor', 'ca', 'chicago', 'city', 'state', 'nyc', 'homeless', 'cities', 'york']","['he would have made a good mayor of chicago d c or detroit', 'if you love your family get out of california', 'california democrat says about all you need to know about that']"
22,21,10844,21_china_chinese_chinas_communist,"['china', 'chinese', 'chinas', 'communist', 'ccp', 'beijing', 'trade', 'biden', 'joe', 'world']","[""nothing new about wall street elites being willing to sell out out national security corporate elites do it on a regular basis and radical left wing dems are always willing to help china breaks treaty with britain about shanghai china engages in massive human rights violations china sends tens of thousands of chinese around the world after outbreak in china of covid thereby infecting the world china steals u s technology china builds military bases in south china sea china threatens attack on taiwan china buys oil from russia to help russia finance war on ukraine and what does biden do he rewards the chinese at every opportunity biden is so comprised as a result of his crime family's business dealings with the chinese that he would sell out this country in a heart beat to protect his chinese dealings from being revealed"", 'new u s china same', 'china should be next']"
23,22,8664,22_flag_military_veterans_va,"['flag', 'military', 'veterans', 'va', 'vets', 'marine', 'served', 'service', 'veteran', 'vet']","['if only there was a red flag', 'false flag', ""it's really their state flag""]"
24,23,8038,23_music_song_rap_band,"['music', 'song', 'rap', 'band', 'songs', 'talent', 'george', 'bob', 'rock', 'album']","[""they probably don't have music either music is not allowed"", 'what not to pay for music', 'make music great again']"
25,24,7840,24_fbi_mueller_cia_collusion,"['fbi', 'mueller', 'cia', 'collusion', 'investigation', 'flynn', 'snowden', 'nsa', 'comey', 'pardon']","['this guy should head our fbi', 'what did the fbi know and when did they know it', 'so f the fbi']"
26,25,7626,25_obamacare_insurance_health_healthcare,"['obamacare', 'insurance', 'health', 'healthcare', 'care', 'medicare', 'aca', 'medicaid', 'premiums', 'medical']","[""they were lied too medicare is a required insurance plan costs come out your pay check when working so old people have already paid for the insurance they just didn't want pay for insurance when they are healthy they want insurance when they need it like getting auto insurance after you have an accident"", ""it's all free obamacare or something"", ""it is all about the numbers if you go to a bank and ask for a business loan the first question is what kind of profit do you make if your answer is i don't know you will shown the door obamacare was supposed to insure people who didn't have insurance how many uninsured now are insured how many had insurance which was cancelled due to obamacare and replaced previous insurance how many have actually bought insurance meaning paid for it how many doctors and hospitals will accept the insurance payments offered under obamacare not arguing about numbers is insanity""]"
27,26,7586,26_communist_socialism_socialist_communists,"['communist', 'socialism', 'socialist', 'communists', 'marxist', 'communism', 'socialists', 'marxists', 'marxism', 'party']","['that is what socialism does', 'democrat socialism', 'socialism is for the people not the socialist or communist in this case']"
28,27,5588,27_women_men_gender_gay,"['women', 'men', 'gender', 'gay', 'feminists', 'trans', 'feminism', 'sex', 'transgender', 'woman']","['no gender and sex are different gender says female', 'you forgot men are women women are men', 'men are not women nor are women men']"
29,28,5349,28_drugs_marijuana_drug_pot,"['drugs', 'marijuana', 'drug', 'pot', 'alcohol', 'cannabis', 'meth', 'smoking', 'smoke', 'weed']","[""i believe in minimal government but hemp no matter how safe or whatever the reasons are is only used to get high yes you could use it for rope but let's get real it is for only one thing in the us to toke and i will not allow kids to be using it and letting it get out of hand latest study and the study was released last week that smoking weed at an early age does permanent damage i know they are against weed and it is all political but i would rather be safe than sorry with our future generation plus look at the last time we allowed weed smoking the 's now we have generations of people and kids who are looking for the next high you say oh smoking weed is not addictive nor does it promote harder drugs sorry that is wrong it is like any habit most people not all will start small then keep taking a risk on stronger stuff and you end up with a drug addict look around you and see all the people who have done coke then crack then meth etc this is real not lies and the people who support weed just want cheap weed so no anyone who supports legalizing weed needs to let it go it is not happening as long as you have responsible parents and mature adults in society"", ""in the prohibitionist's world anybody who consumes the slightest amount of marijuana responsibly in the privacy of their own homes are stoners and dopers that need to be incarcerated in order to to protect society in their world any marijuana use equates to marijuana abuse and it is their god given duty to worry about saving us all from the evils of marijuana use who are they to tell us we can't choose marijuana the safer choice instead of alcohol for relaxation after a long hard day in the privacy of our own homes people who consume marijuana are smart honest hard working educated and successful people too who follow the law also except for their marijuana consumption under it's current prohibition of course not the stereotypical live at home losers prohibitionists make them out to be they are doctors lawyers professors movie stars and politicians too several presidents of the united states themselves along with justin trudeau bill gates and carl sagan have all confessed to their marijuana use as have a long and extensive list of successful people throughout history at one point or other in their lives although that doesn't mean a dam thing to people who will make comments like dopers and stoners about anybody who uses the slightest amount of marijuana although it is way safer than alcohol to these people any use equals abuse and that is really ignorant and full of hypocrisy while our society promotes advertises and even glorifies alcohol consumption like it's an all american pastime there is nothing worse about relaxing with a little marijuana after a long hard day than having a drink or two of alcohol so come off those high horses of yours who are you to dictate to the rest of society that we can't enjoy marijuana the safer choice over alcohol in the privacy of our own homes we've worked real hard our whole lives to provide for our loved ones we don't appreciate prohibitionists trying to impose their will and morals upon us all has a marijuana consumer ever forced you to use it probably not so nobody has the right to force anybody not to either don't try to impose your morality and clean living upon everybody else with draconian marijuana laws and we won't think you're such prohibitionist hypocrites legalize nationwide support each and every marijuana legalization initiative"", ""you said marijuana is a gateway drug this is frequently brought up so over the years i have collected much information on the subject if prohibition has any effect it makes cannabis a gateway to other illicit drugs the gateway drug theory that a unique pharmacological effect of cannabis causes the use of hard drugs has been discredited by the many peer reviewed studies which have examined it if the gateway theory were to have any merit then alcohol and tobacco would be the true gateway drugs as nearly all have tried these before cannabis there are many factors that determine which illicit substance will be used first including availability and culture in japan where cannabis use is not popular and largely frowned upon of illicit drug users did not use illicit cannabis first in the u s since cannabis is by far the most popular and available illegal recreational substance it is unlikely that you would find many illicit hard drug users who did not encounter and use illicit cannabis first this does not mean cannabis caused their hard drug use rather it was their pre existing interest in recreational substances combined with their willingness to try illicit substances and cannabis was simply and predictably the first encountered on a related note studies have shown that cannabinoids can help treat those addicted to hard drugs and alcohol and that it is an exit drug for some if anything the prohibition of cannabis makes the hard drug problem worse once someone breaks the law to try the very popular and relatively safe drug cannabis their reluctance to try another illegal substance diminishes this is both because of their newly increased doubts of government honesty regarding the harmful effects of those substances as well and their newly reduced respect for laws against drugs in general cannabis prohibition also connects cannabis consumers to the hard drug market imagine if beer merchants also sold heroin cocaine and meth this is the situation that the prohibition of cannabis creates for its consumers it places a very popular substance into these otherwise unpopular markets strengthening them and expanding their reach also with no legal recourse to resolve disputes cannabis prohibition increases the crime associated with these markets efforts to prevent hard drug abuse are undermined and resources misspent when gateway theory is accepted as valid a recent extensive review on the subject concluded that the promotion of the erroneous gateway theory ultimately does the public a disservice including the hindering of intervention regardless one major concern is that relaxed laws will lead to significantly increased teen usage but this has not been the case legalizing medical cannabis in the u s has not increased cannabis usage in teens decriminalization does not result in increased cannabis consumption for all ages except for a small temporary increase during the first few years portugal saw reduced adolescent cannabis use after decriminalizing all drugs in sources joy et al marijuana and medicine assessing the science base institute of medicine morral et al reassessing the marijuana gateway effect drug policy research center rand addiction cleveland hh wiebe rp understanding the association between adolescent marijuana use and later serious drug use gateway effect or developmental trajectory dev psychopathol o'connell tj bou matar cb long term marijuana users seeking medical cannabis in california demographics social characteristics patterns of cannabis and other drug use of applicants harm reduction journal wen et al the effect of medical marijuana laws on marijuana alcohol and hard drug use the national bureau of economic research tristan et al alcohol as a gateway drug a study of us th graders journal of school health oliere et al modulation of the endocannabinoid system vulnerability factor and new treatment target for stimulant addiction front psychiatry review choo et al the impact of state medical marijuana legislation on adolescent marijuana use journal of adolescent health lynne landsman et al effects of state medical marijuana laws on adolescent marijuana use am j public health harper et al do medical marijuana laws increase marijuana use replication study and extension ann epidemiol anderson et al medical marijuana laws and teen marijuana use iza williams j bretteville jensen al does liberalizing cannabis laws increase cannabis use j health econ single ew the impact of marijuana decriminalization an update j public health policy tarter et al predictors of marijuana use in adolescents before and after licit drug use examination of the gateway hypothesis the american journal of psychiatry van gundy k rebellon cj a life course perspective on the gateway hypothesis j health soc behav tarter et al predictors of marijuana use in adolescents before and after licit drug use examination of the gateway hypothesis am j psychiatry hughes c e and stevens a what can we learn from the portuguese decriminalization of illicit drugs brit j criminol reiman a cannabis as a substitute for alcohol and other drugs harm reduct j vanyukov et al common liability to addiction and gateway hypothesis theoretical empirical and evolutionary perspective drug alcohol depend review""]"
30,29,5211,29_cruz_ted_cruzs_trump,"['cruz', 'ted', 'cruzs', 'trump', 'rubio', 'carson', 'senator', 'delegates', 'establishment', 'goldman']","['ted cruz', 'and cruz', 'trump cruz']"
31,30,5139,30_germany_german_fascist_hitler,"['germany', 'german', 'fascist', 'hitler', 'germans', 'fascism', 'nazi', 'fascists', 'nazis', 'hitlery']","['in nazis only made up of about of the german population', 'you are undoubtedly part of the nazi germans that left germany', 'hitler is always present in germany']"
32,31,4992,31_twitter_facebook_fb_social,"['twitter', 'facebook', 'fb', 'social', 'tweets', 'account', 'tweet', 'media', 'google', 'platform']","[""i hate facebook twitter's not far behind am i alone"", 'yes they are and they go on and on about twitter and facebook', ""i don't twitter and facebook""]"
33,32,4921,32_breitbart_news_breitbarts_andrew,"['breitbart', 'news', 'breitbarts', 'andrew', 'article', 'story', 'articles', 'comments', 'site', 'readers']","[""that's president trump breitbart"", 'why is this news breitbart', 'except breitbart']"
34,33,4822,33_pig_pigs_bacon_eat,"['pig', 'pigs', 'bacon', 'eat', 'meat', 'cheese', 'pizza', 'pork', 'kelloggs', 'taco']","['or eat bacon', 'wrong you pig', 'what a pig she is']"
35,34,4632,34_energy_tesla_coal_electric,"['energy', 'tesla', 'coal', 'electric', 'solar', 'green', 'wind', 'gas', 'electricity', 'cars']","[""the three scientists analyzed the amount of energy that is required to produce batteries for electric cars while considering the current energy requirements that are needed to re charge the batteries tremendous amounts of energy are needed to extract the lithium cobalt and manganese needed to produce the batteries for electric cars this process requires to tons of co just to make one tesla model battery when all is accounted for electric cars emit up to grams of co per kilometer according to the scientists this co output is considerably more than a comparable diesel mercedes according to the researchers an electric car burdens the climate more than a diesel car there is nothing green about ev's"", ""wind power is of the u s power grid solar power is a whopping of the u s power grid nuclear is coal is and natural gas is charging a tesla electric car is an exercise in 'how much coal can i put in my car today' at what point will the 'climate change fear mongers' realize us capitalists will gladly get on board when they come up with a better way to make electricity a more efficient fuel or better investments to do more with our limited resources but with unchanging power grid numbers like the ones i just gave from the dept of energy how can they ever expect anyone to believe them when their sole intent of fear mongering 'climate change' is to sell us on a damn carbon tax it's not about helping the planet it's about selling us on willingly accepting a compounding resource tax that has no physics or chemistry behind it's allocation its a political tax for the ignorant"", 'of electricity in the usa comes from coal thus electric cars are on average powered by coal no way around that one']"
36,35,4553,35_jews_jewish_jew_semitic,"['jews', 'jewish', 'jew', 'semitic', 'anti', 'israel', 'semitism', 'antisemitism', 'judaism', 'hate']","['american jews are liberal first', 'use them against the jews like he did before', 'that s just jews being jews']"
37,36,4489,36_climate_warming_global_change,"['climate', 'warming', 'global', 'change', 'ice', 'temperature', 'earth', 'weather', 'science', 'cooling']","['so much for climate change', ""it's all about global warming or is it climate change"", 'they call it climate change now']"
