,Topic,Count,Name,Representation,Representative_Docs
25,24,10237,24_abortion_abortions_fetus_birth,"['abortion', 'abortions', 'fetus', 'birth', 'pregnancy', 'pro', 'life', 'baby', 'child', 'pregnant']","[""you left out 'an abortion afterwards'"", 'every abortion', 'none of that has anything to do with abortion']"
26,25,8201,25_putin_russia_russian_russians,"['putin', 'russia', 'russian', 'russians', 'putins', 'ukraine', 'russias', 'moscow', 'trump', 'kremlin']","[""asking russian emigres about russian politics you're bound to get some wrong answers here ostrovsky and pomerantsev talk almost casually about the russian federation breaking up and recommend throwing money at ukraine any russian living in russia would react to the idea of russia breaking up as a possible next step in the political evolution of russia with complete horror much as an american would react to the idea of some states seceding from the union the average russian would be ready to endure almost any dictatorial regime to prevent that from happening about throwing money at ukraine here's the thing russia will always have the upper hand on the us in ukraine in terms of language contacts everything it will be hard enough for america to make sure that its funds go to the right people without russia making sure that there are major embarrassments and russia will certainly make sure of that plus there are pro russian factions in ukraine look at yanukovych he got elected in an election certified as free and fair by the osce he was widely known as a moscow friendly candidate and could barely speak ukrainian long story short there's no assurance that there's any good move for the us in the former soviet space that would somehow contain putin's russia if putin could insert himself into our presidential election showing that his team has deep knowledge of how our politics work how are we supposed to outplay him in a country like ukraine where very very few americans even know who the players are or speak the language but now that russia is on our radar there will be plenty who will be ready to sell solutions to the russian problem two of them wrote this article"", ""the nine lessons of russian propaganda rely on dissenting political groups in western countries for dissemination kremlin talking points appear with uncanny similarity in most alternative political movements in the west including communist libertarian nationalist and even environmentalist whose protests occasionally overlap with anti nato protests i had an especially close look at the libertarian community as i have long been a part of it rampant misinformation led me to write these three increasingly horrified essays about what some prominent libertarians were saying about russia and ukraine putin's libertarians when your former libertarian hero calls you a nazi and the latest libertarian shillery for russia radical kremlin ideologue alexander dugin articulates this strategy fairly explicitly the most important factor should not be whether these groups are pro russian or not what they oppose is of much greater importance here the enemy of my enemy is my friend it is simple and easy to understand if we adopt such an attitude in order to appeal to all possible allies who either approve of us or who do not more and more people will follow suit if only due to pragmatism in doing so we will create a real functioning network a kind of global revolutionary alliance domestic propaganda is most important marquis de custine a french travel writer wrote in his book the political regime here would not survive years of free communication with western europe the long term viability of russian autocracy is more threatened by the standard of living in finland estonia lithuania and poland than by any foreign military this fear of facing their own poverty and oppression also echoes throughout the troubled history of russia's relations with ukraine this is why the kremlin so frantically saturates the russian public with paranoia and a siege mentality their society does not compare favorably to that of their neighbors the kremlin's sway over russian public opinion cannot be underestimated i know more than one ukrainian who received a phone call from relatives in russia after the maidan revolution to confirm stories about people murdered in the streets of kyiv or lviv for speaking russian and to urge them to escape no such thing ever took place russian was and is spoken every day the term zombified as entered the ukrainian lexicon to describe acquaintances under the sway of russian propaganda russian media diligently puts the world in context for the russian public it would be unconscionable to allow russians to believe ukraine's revolution was a populist uprising against corruption and absolutism it needed re branding not a revolution but a coup not driven by a desire for rule of law but by a hatred of russians not ukrainian but cia jewish nazis the broad range of villains in their contradictory narratives reflects the range of ideologies to which they attempt to appeal amazingly they have some success the american diplomat's handing out of cookies and ambassador nuland's off hand insult of the eu were the grains of truth upon which the russian propaganda machine built monstrous menacing narratives of american and or nazi conspiracy destroy and ridicule the idea of truth many people including peruvian statesman and nobel prize winning author mario vargo llosa have observed that russian propaganda destroys meaning they pursue several tactics including the false moral equivalences of whataboutism polluting the information space more below and hosting seemingly objective discussions that give equal play to the truth alongside the most ludicrous distortions making the truth seem like the least interesting of many possible narratives for example just days after signing a ceasefire in syria the russian military bombed at least five medical facilities in syria while doing so their ministry of foreign affairs tweeted about humanitarian aid shipments regarding the budapest memorandum russia's foreign minister sergey lavrov said we have not violated it it contains only one obligation i e not to use nuclear weapons against ukraine this is outrageously untrue and cannot be an accident there is a russian expression intelligently you cannot understand russia which comes from a year old quatrain by russian poet fyodor tyutchev the poem concludes in russia you can only believe the bias against comprehension is deep seeded putin is strong russia is strong this message permeates all russian information efforts power is the perception of power and the kremlin understands this very well they constantly allude to or directly threaten invasion and nuclear war with everyone from their neighbors to turkey to the united states it is impossible for serious western journalists to ignore such threats so the kremlin gets a message inserted into foreign societies exciting those voices who seek to avoid conflict while maintaining a degree of separation from the messenger the kremlin needs to distract its public from the needless economic hardship and rampant corruption when faced with sanctions russia could not allow itself to be seen as the victim they immediately issued counter sanctions and flooded both the news and comment sections with stories of how polish apple growers and other european producers were suffering without the russian market sanctions are bombastically announced and quietly done away with as is usually the case headlines were more important than reality headlines are more important than reality especially while first impressions are forming first impressions are known to be extremely sticky they persist even after subsequent evidence is conclusive consequently russian propaganda seems to fight hard for the first impression and then relent when opposition politician boris nemtsov was assassinated they quickly spun several elaborate theories which played on russian news their propaganda about neo nazis dominated coverage of ukraine's revolution even after multiple statements and an open letter from the leaders of ukraine's jewish community in support of the nazi narrative russian state television even reported fake results of ukraine's election stating that now president poroshenko lost the race to right sector leader dmytro yarosh in reality yarosh received about of the vote obviously anybody paying attention would find out this was nonsense within days if not hours but being proved wrong does not seem to matter to them no matter audacious russian lies delivered from semi official sources succeed in muddying the waters and preventing the formation of clear impressions that recognize the reality of what is happening demoralize during both the war with georgia and the present invasion of ukraine russian propaganda very effectively showed pictures of dead dying and tortured georgian and ukrainian soldiers they were on the news and all over the internet this strategy extends to western society and is discussed explicitly in the active measures interviews of former kgb agents there seem to be seem to be libertarian organizations only interested in libertarianism when it intersects with anti americanism it is easy to imagine why magnify western corruption and weakness is in russia's interest move the conversation no matter how ridiculous their propaganda no matter how many times it is proven to be false it succeeds in shifting the conversation western journalists were consumed with determined if russia was invading ukraine that they had little space left to examine how russia was invading the propaganda dominated the conversation at the expense of the actual invasion the exploitable bias of western journalists is that each side has its perspective and the truth is somewhere in the middle pollute the information space one of the strangest examples of russian disinformation is the columbia chemicals plant explosion hoax in which it seems that either the kremlin or a close ally orchestration a chorus of reports about an unfolding terrorist attack in the united states that never actually happened politician alexei navalny said about the polluting strategy in russia the paid trolls have made it impossible for the normal internet user to separate truth from fiction the point is to spoil it to create the atmosphere of hate to make it so stinky that normal people won t want to touch it you have to remember the internet population of russia is just over percent the rest are yet to join and when they join it s very important what is their first impression domestically they want to ruin the one media which they don't control internationally they want to sow confusion and paranoia gas lighting accuse the enemy of doing what you are doing to confuse the conversation after american generals began using the term hybrid war to describe russia's planned deliberate scaling of hostilities from pseudo civilian protests to military formations a russian general without irony accused the united states of hybrid war against russia while russian proxies were burning ukrainian books and flags destroying monuments to ukraine's great famine the holodomor crimea tartar cultural centers and everything else that wasn't strictly russian they were accusing ukrainians of hostility toward russian culture even though nothing of the kind had taken place the accounts russians who struggled on maidan alongside ukrainians were ignored it was ukraine's leadership who eventually had to give reassurances on the international stage that the rights of minorities would be respected not russia's and not the leaders of their proxies despite harsh crackdowns on ukrainian culture tartar institutions catholic and protestant churches and everything else that wasn't russian"", 'but russia']"
27,26,7421,26_cats_dogs_dog_cat,"['cats', 'dogs', 'dog', 'cat', 'animals', 'animal', 'wild', 'horses', 'humans', 'pets']","['i love cats and dogs for different reasons dogs are so in tune to my well being if i cough they look up and look concerned and are eager for my company if i go downstairs they follow and visa versa i love cats because they choose to be in your presence cats are the most wild animals we experience in daily life both provide a powerful plus to my environment', 'cats are cool but theres nothing better than a good dog', ""the traits the author uses as negatives passive aggressive emotionally unavailable and known for their chilly independence are exactly why women love cats the bad boys in pet relations i inherited cats from my girlfriend when she passed away i can tell major differences between individual cats and the differences between cats and dogs cats are in essence wild animals willing for the most part to trade the outdoors for food and warmth a totally feral cat i have that stay in my garage is one viscous animal i hear talk about rats killing cats sure your fat house cat but a feral cat is meaner than hell and tougher than tin and will eat the biggest rat face to tail and then go after that rat's family most cat owners have no real clue just how bad ass a cat can be""]"
28,27,6627,27_slavery_slaves_slave_black,"['slavery', 'slaves', 'slave', 'black', 'racist', 'party', 'democrats', 'white', 'jefferson', 'civil']","[""i lived in the deep south for almost years so you can imagine how many times i've heard the myth that the war was about states rights there have been a lot of times that states have correctly imo complained that the federal government was impinging upon states rights i am a big believer in the th amendment and i think the destruction of states' rights since the s is one of the two forces that are destroying our nation i also to let you know believe that southern secession was legal despite this i still reject the notion that slavery was not at the heart of the decision to secede but you don't have to take my word for it the states said so themselves from mississppi's declaration of secession our position is thoroughly identified with the institution of slavery the greatest material interest of the world its labor supplies the product which constitutes by far the largest and most important portions of the commerce of the earth these products are peculiar to the climate verging on the tropical regions and by an imperious law of nature none but the black race can bear exposure to the tropical sun these products have become necessities of the world and a blow at slavery is a blow at commerce and civilization that blow has been long aimed at the institution and was at the point of reaching its consummation there was no choice left us but submission to the mandates of abolition or a dissolution of the union whose principles had been subverted to work out our ruin from south carolina's declaration a geographical line has been drawn across the union and all the states north of that line have united in the election of a man to the high office of president of the united states whose opinions and purposes are hostile to slavery he is to be entrusted with the administration of the common government because he has declared that that government cannot endure permanently half slave half free and that the public mind must rest in the belief that slavery is in the course of ultimate extinction from texas the unnatural feeling of hostility to these southern states and their beneficent and patriarchal system of african slavery proclaiming the debasing doctrine of the equality of all men irrespective of race or color a doctrine at war with nature in opposition to the experience of mankind and in violation of the plainest revelations of the divine law they demand the abolition of negro slavery these men did not hide what they were doing they were leaving to protect slavery that was their primary purpose there were other times when states were unhappy and threatened secession new england because of madison's conduct of the war of for example but only slavery provided a sufficiently powerful motivation to actually pull the secession trigger bottom line if slavery had not existed there would never have been a civil war that makes slavery the primary cause"", 'democrats party of slavery and jim crow race based policies and modern slavery nothing has changed really', ""slavery as a state of war that's what this is about""]"
29,28,6231,28_germany_hitler_nazi_german,"['germany', 'hitler', 'nazi', 'german', 'nazis', 'merkel', 'germans', 'macron', 'le', 'genocide']","['hitler was not very far rights', 'so did hitler', ""so are you an year old german living on hawaii and all your superb knowledge about nazi germany comes from that or not i obviously know less than you about nazi ideology yet you think that half of germany are nazis voting for the cdu csu you do notice that those two things don't go together right you criticize lack of education about the third reich and then you rattle off fact after fact and insult after insult about nazi germany what exactly is it you want nazi propaganda in german schools should i have been educated more like you about propaganda speeches should we have read mein kampf like you obviously did oh and all in all you do notice that to me all your hate towards me is highly amusing i mean i'm sitting here in complete amazement how an exile german can hate and hate and hate on a whole race sound familiar""]"
30,29,6212,29_korea_north_nk_korean,"['korea', 'north', 'nk', 'korean', 'kim', 'nuclear', 'china', 'koreans', 'south', 'jong']","['what is the evidence that north korea did this', 'and what exactly will trump do about north korea', 'like north korea']"
31,30,6161,30_climate_warming_global_change,"['climate', 'warming', 'global', 'change', 'ice', 'temperature', 'scientists', 'science', 'temperatures', 'models']","['global warming', 'climate change', 'if its global warming call it global warming not climate change if its climate change call it so not global warming make up your minds']"
32,31,5986,31_season_episode_characters_episodes,"['season', 'episode', 'characters', 'episodes', 'series', 'character', 'rick', 'tv', 'shows', 'seasons']","['i have to disagree and with each passing episode i want to watch season again because it stands out even more', ""i haven't seen a new episode of mad men since before they went on that long hiatus before the last season which is now on netflix but which my wife wants us to wait on until the baby comes so nothing i can say is particularly insightful to what the show is now but what you describe feels a lot like what i was already feeling two years ago and i think the efficiency of narrative whether you meant it this way or not is a phrase that kind of gets to the problems i had been having i think mad men's greatest strengths i e the writing and development of the characters has become one of it's greatest weaknesses the longer the show has been on the air a lot of time people tend to talk about how literature and narrative are more about character than plot which i tend to agree with but i also think think that it's a philosophy that gives plot a bad rap because at some point you need plot you need to move you need your characters to grow or to fall apart and fall away and you need that to move the players that are left to growth or to something else by the end of the last season i watched whatever two seasons ago was when he was about to or already had done the roger thing and married his secretary it felt like don was re entering a loop i'd already seen him go through at least twice before i am looking forward to finally watching season five or whatever it is but your posts have been disconcerting if unsurprising"", 'american crime was a great last season the first episode was good so far']"
33,32,5951,32_marijuana_smoking_cannabis_pot,"['marijuana', 'smoking', 'cannabis', 'pot', 'tobacco', 'alcohol', 'smoke', 'weed', 'cigarettes', 'legalization']","['it is if you have it but to blame it on smoking marijuana is ridiculous', 'better get back on the medical marijuana', ""great so we agree then marijuana is harmful but should probably be legal anyway is that what you mean i agree with that i've got no problem with recognizing that marijuana is not a harmless drug but that perhaps its recreational use should be legal regardless what i do have a problem with is the claim that marijuana doesn't do any significant harm to those who use it and therefore it should be legal that's exactly the claim that the author of this article makes how many years did the tobacco industry claim that its product was harmless to its users even beneficial and good for them how many doctors did it pay to publicly agree with them in testimony and advertising guess what they weren't only wrong they blatantly lied about the risks of using their product how many people have died and had their lives ruined as a result of smoking cigarettes precisely because they were told and believed it was as harmless as coffee how many years did it take for research to definitively prove what smoking cigarettes does to the human body we know a lot more about the adverse affects of smoking marijuana now while debating its legalization than we did about smoking tobacco and yet advocates of marijuana legalization often outright deny an entire raft of peer reviewed scientific research that show its adverse affects on both youth and adults and go even further to start heralding its benefits as a cancer cure all which has not been in the least bit scientifically demonstrated and that it might actually increase the risk of cancer is still hotly debated and being researched if we want marijuana to be legal we need to be honest about the risks involved in using it should advocates really be allowed to claim it's harmless is that the message that should be sent to potential users young and old alike i think no that's irresponsible and probably a lot more criminally negligent that smoking marijuana ever will be there will always be people who claim they've smoked marijuana for years with no ill effects well the effects of alcohol abuse aren't readily apparent to the alcoholic either people smoking marijuana don't have any immediate physical evidence that smoking one joint can lead to inhaling as much tar into their lungs as an entire pack of cigarettes they do not immediately realize the negative cognitive effects it's having on them in both the long and short term my grandfather smoked cigarettes the majority of his life only finally stopping in his eighties due to the constant harassment of his family he died at without a trace of cancer in his body regardless i'm still pretty certain that tobacco increases the risks of cancer for a very large number of people it's bad for your lungs and overall health even if you don't get cancer do i still occasionally smoke a cigarette yes would i probably smoke marijuana more often if it were legal and ubiquitous in society yes however i do these things while being as fully informed about the risks involved in doing them as possible that's all i'm asking for an honest discussion about legalization that attempts to address in advance the problems doing so will probably create and yes i'm well aware that kids smoke marijuana regardless of its illegality i probably did a lot more illegal stuff than most as a kid that's not the point i was making i was simply saying that legalization of marijuana for adults will probably result in more kids smoking it and more often than do now why not they will have more access and the affirmation of legality that it's okay we have the chance to plan for that eventuality before legalization shouldn't we be doing that and fully educating our kids about marijuana use the same way we do with alcohol and tobacco rather than turning a blind eye to it's adverse affects just so it can be more easily legislated into legality legalization advocates currently tell kids that marijuana is relatively harmless less so than alcohol or tobacco but scientific research pretty clearly tells us that is not true do you really think that this is perfectly okay is that what you want your kids to hear about using marijuana from people who falsely purport to be experts""]"
34,33,5516,33_energy_solar_oil_coal,"['energy', 'solar', 'oil', 'coal', 'water', 'wind', 'fossil', 'gas', 'nuclear', 'power']","[""i was involved in a government sponsored project to push alternative energy in the 's when opec was in first flower and gas prices were rising over a gallon what we were pushing was solar hot water heating as that was about of the average residential fuel cost and there was a fairly short term payback period we were well aware of other alternative energy sources but they all had the same underlying problem they cost too much ultimately people will use the cheapest form of energy available and even at current prices solar and other alternative energy forms are still more expensive than gas coal and oil the thing forgotten is that electricity is only one form of energy at the moment electricity is about of the national energy budget with industrial heating and cooling residential and light commercial heating and cooling and transportation as the other thinking of solar only in terms of photovoltaics misses the larger energy picture"", ""it wouldn't cost anything and would reduce pollution sharply increase health avoid the expensive consequences of climate change and make the whole world more prosperous wind power and solar power have just recently in for wind and for photovoltaic solar become cheaper than power derived from burning coal or natural gas costs for both solar and wind are expected to continue falling for the next five to ten years there will be some expense up front for the equipment but many of our existing coal or natural gas power plants are getting too old to repair and would need replacement soon anyway in the long run the transition would cost literally nothing"", 'when it comes to alternative energy we do just as a mercedes costs more than a kia solar or wind are way more expensive than natural gas oil or coal']"
35,34,5452,34_texas_singapore_state_city,"['texas', 'singapore', 'state', 'city', 'california', 'mississippi', 'utah', 'lawyers', 'dc', 'cities']","['nice job texas you are almost almost passing florida for worst state in the union why did we fight to keep texas again', ""what can you say it's texas'"", ""it's texas""]"
36,35,5439,35_art_music_song_beyonce,"['art', 'music', 'song', 'beyonce', 'pop', 'gaga', 'madonna', 'album', 'artists', 'artist']","[""well i'm an artist yeah it's all about the art"", 'sure art', ""art is anything that is what i meant if i create something and call it art then it is art simply because i say it is you can disagree all you want and question whether something is art or not but the fact that the discussion is even happening proves that she is making art art is a man made concept we can make art whatever we want art to be there are no set rules anymore especially since warhol the lines are completely blurred and that's where gaga comes into play you can go to the met and see an ancient pot from ancient egypt and they call that art it wasn't made to be art when it was created but now its in one of the worlds most famous art museums mcqueen had a great exhibit at the met a few years ago some people don't consider fashion art but now that it is being recognized by the art world fashion has become art she is clearly an artist working with actual people who the art world claims to be artists she has a group of fashion art students working with her that she calls the 'haus of gaga' they clearly create lots and lots of things for her she is going to be in an exhibition next year of photographs in the louvre for gods sake if you create something out of nothing for people to look at and enjoy or critique or say 'that's weird' or have whatever reaction to it you are making art i don't understand how you can say she isn't an artist music is an art form film is an art form performing is an art form she does all of these things and in my opinion she does them all quite brilliantly how anyone can say she isn't an artist is just beyond me just because you don't understand some of it and don't particularly like it doesn't mean its not art also people are overlooking the variety of things she does they hear her music and see her clothes and everything and judge it all like its the same thing her music is one aspect of what she does but she does many many things i could go on forever but i will just go away and listen to artpop on repeat p""]"
37,36,5407,36_tax_spending_debt_deficit,"['tax', 'spending', 'debt', 'deficit', 'cuts', 'budget', 'economy', 'recession', 'taxes', 'bush']","[""ok i'm getting a little weary trying to follow your multidimensional anti obama diatribes but just for amusement let's try to pin down what the fiscal cliff is components expiration of bush tax cuts sequestration spending cuts half domestic half defense i'm not sure what obama's negotiating position is beyond expiration of tax cuts above k income i'm not sure what the republican position is i'm assuming they want only the domestic cuts no defense cuts bush tax cuts made permanent but they will argue for more that the sequestration cuts on domestic spending which are already pretty severe i don't know where either of these positions does much for the deficit i don't know the relative magnitudes but i'm assuming the r position would do about as much for the deficit as doing the whole thing would going off the fiscal cliff would be effectively an austerity budget which is not good in a recession but trying to fund making the bush tax cuts permanent by some phenomenally large domestic spending cut would be pretty much the same an austerity budget dangerous for the fragile economy maybe the republicans have a secret plan or maybe they're going to propose the miracle of supply side economics one more time but if you want to whine about obama on this particular subject perhaps you could explain what precisely the alternative is and why it's such a good idea"", ""obama made it very very clear in his campaign that the only tax increases he wanted was one on the rich what i am saying is this fine you have them the problem from a deficit perspective is that it leaves at least by latest figures trillion of deficit to deal with after he gets his way on taxes so he has a few choices raise taxes on everyone this may be as simple as letting the bush cuts expire while you may be okay with this i promise there are lots and lots of voters out there who voted for obama and will feel that they were lied to cut defense and domestic spending the problem here is that the amount of cuts would be gigantic and obama's own party would revolt take the higher taxes dont cut spending and go another four years of trillion deficits economic growth might narrow that number some but to only billion or so this is a kick the can down the road strategy politically useful but i suspect inflation would start to show up big time which reduces the poor's standard of living the most"", ""how do you figure that democrats have been worse on the deficit barack obama's policies added only about billion dollars to the national debt not per year total about a third of that was a middle class tax cut george w bush's policies which he inherited plus the worst recession since the great depression which he also inherited have added far more to the debt the deficit was literally over a trillion dollars before he did anything due to falling tax receipts and higher mandatory spending and if you're accusing him of not doing enough to cut the deficit what about the fiscal cliff that cuts the deficit by much more than even the republicans think is wise mitt romney in the debates actually attacked obama for cutting spending too much since you say democrats plural which other democratic presidents do you mean bill clinton actually balanced the budget and jimmy carter ran much smaller deficits than either ronald reagan or george w bush""]"
38,37,5367,37_romney_romneys_mitt_obama,"['romney', 'romneys', 'mitt', 'obama', 'president', 'campaign', 'tax', 'returns', 'hes', 'candidate']","[""romney's not smart"", 'i could vote for romney that is george romney', 'romney whatever you are for me too']"
39,38,5177,38_book_shakespeare_read_fiction,"['book', 'shakespeare', 'read', 'fiction', 'books', 'novel', 'baldwin', 'reading', 'novels', 'harry']","[""hey will any of you tell me which book you guys read on u s grant i'm late but i want to get the one you all in the book club read or the best one possible"", ""its answers like the ones you try to give that leave some people very unsatisfied you do provide possible explanations that could explain how shaksper acquired his knowledge but you don't explain why it is that there is so much to explain away how did shaksper gain access to those books that were in private libraries no one ever mentions that the great playwrite has graced them with a visit paper was a scarce and valuable resource it is incredible to believe that no one saved any souvineers of the great writer no book with the name william shakespeare inscribed has ever been uncovered no autograph no letter it strains the imagination to think this man could have written over and yet not one original word is extent shakespeare's legal knowledge is beyond that of the mere practitioner he understands law from the point of view of lawmaker not a barrister edward de vere was a lord in training having knowledge of language law and diplomacy would be considered important for a person of his station and the jobs for which he might be assigned it is nearly ridiculous to suggest that oxford did not genuinely earn the degrees for which he is credited and just as ridiculous to believe that shakspere could acquire his expertise form simply reading a book and if he did again we would like to know what books and where did they go shakespeare is politically consistent and if you can think of contrary examples i would be interested but he was a staunch supporter of the status quo the history plays are an extended justification of the tudor dynasty and british imperialism he argues for the existing social order and he demonstrates deep disdain for the mob his characters are nearly all kings and nobles and he depicts there problems with unerring accuracy and sympathy he thinks of commoners as simple and gives them silly names like dogberry and pistol and tearsheet the cover of the printed version of richard boasts new additions to the deposition scene the suggestion is that these scenes were added to help incite the crowd to rebellion though he may have had nothing to do with the event it is clear that the authorities came to view the work as subversive shakespeare was not even questioned reading biography out of an author's work and vice versa is called literary biography it is a common way for people to get a phd the people who call it a fool's errand are referring only to shakespeare it seems perfectly acceptable to apply the concept to every other artist that we can the literary biography of edward de vere and the works or shakespeare are a perfect match and there are some people who just don't want you to know that"", 'for you people it was a book the only book you people should read']"
40,39,5037,39_eu_uk_brexit_scotland,"['eu', 'uk', 'brexit', 'scotland', 'britain', 'british', 'spain', 'independence', 'catalonia', 'scottish']","[""dislike the eu a bit actually i've heard the brexiters being much more nasty about the eu than the other way around including some of your own statements and much more dishonest for that matter also none of that matters countries will do what is in their interest and just as the brits wish to abandon the eu britain will not be a priority for the eu the eu will follow its interests as will britain britain is the much smaller economy so to trade in the eu you have to follow eu rules in any agreement with them being free of the eu however does nothing for britain's trade position what has the british got that the rest of the world wants it must trade and has relatively few resources small agriculture and manufacturing that is considerably foreign owned it has a reasonable tourist service industry and the strong financial industry that it has put at risk its importance in the world ranking has been in decline for decades and was in even worse shape before it joined eu claims of eu restrictions are trivial in comparison so again what has the brits got to offer that other countries want for example if you wanted free trade with the us or canada your agriculture would have to be on the table and it could not compete manufacturing is already badly under siege and not get better being little england is a choice and if the brits are happy with it there is no problem"", ""the eu has been getting horrible f only report cards apparently the liberal well living high earning bureaucrats of the eu are ripping off the countries left and right giving almost nothing back inundating them with muslims to keep in the good graces of petroleum countries by allowing islamization of europe and manipulating with the free market this referendum is only the first step the eu has been on slow course to crash landing for a long time and it will die off it's just a matter of time the remain people are those who are too young and too stupid to remember or to study history and know how awesome europe was before the bureaucrats of the eu began their dictatorship before the islamizations before the control by these career eu leaders other remain people are actually people who are somehow or another connected to the eu financially since apparently the eu plays favorites and will benefit those who kowtow to them how europe allowed itself to be yoked into this eu crap is truly amazing to me now it will take time for those countries to remove the eu noose from their necks what i find most shocking is that so much of the media in the uk behaves like most of the media in the u s they have their heads up the behinds of the leaders and will publish false stories about how the eu has benefited europe it hasn't the eu and globalization has done in europe what it has done in the u s benefited the rich the corporations the leaders who kowtow to the eu and the media who are in the pockets of the eu the uk hates the eu spain is next in hating it and so on"", 'alright i disagree with you but i am not going to argue the points let us assume that the eu is being irrational and vindictive so what walk away from the talks and go for the much talked about hard brexit if push comes to shove no free trade agreement with the eu and let trade be conducted with the eu under the wto structure even if the eu is being irrational it still falls to the uk to meet its demands if it wants a free trade agreement made with the eu before the uk gets out of the eu']"
41,40,4744,40_atlantic_articles_article_atlantics,"['atlantic', 'articles', 'article', 'atlantics', 'news', 'magazine', 'read', 'history', 'readers', 'comments']","['on the atlantic', 'not on the atlantic', 'this is the atlantic']"
42,41,4677,41_constitution_court_scalia_supreme,"['constitution', 'court', 'scalia', 'supreme', 'judges', 'justices', 'constitutional', 'amendment', 'law', 'justice']","['so you are against the constitution', 'the scotus does not make law the constitution is the law if a supreme court opinion contradicts the constitution then it is the constitution that prevails', ""in the eyes of a federal district court or circuit court of appeals the supreme court is never wrong as the constitution says all federal courts are inferior to the supreme court this is why no matter how strongly we may disagree with the supreme court and even the judge adjudicating the case may disagree with the supreme court the judge still has to go by what the supreme court says it's a legal doctrine called stare decisis""]"
43,42,4230,42_iq_children_kids_parents,"['iq', 'children', 'kids', 'parents', 'child', 'parent', 'family', 'home', 'work', 'having']","[""perhaps it's an iq test"", ""that's not easy with iq at"", 'this has nothing to do with iq guess your iq isnt as high to figure that out']"
44,43,3854,43_drone_drones_strikes_iraq,"['drone', 'drones', 'strikes', 'iraq', 'war', 'obama', 'military', 'kill', 'terrorists', 'strike']","['drones too', 'drone on', 'what about whatever is behind the drone']"
45,44,3479,44_month_www_months_computer,"['month', 'www', 'months', 'computer', 'laptop', 'internet', 'home', 'hours', 'nbsp', 'site']","[""my friend's sister makes hour on the laptop she has been out of a job for months but last month her pay check was just working on the laptop for a few hours read more on this site www bay m"", ""my co worker's sister makes an hour on the computer she has been unemployed for nine months but last month her paycheck was just working on the computer for a few hours read more on this web site www works com"", ""my friend's step mother makes every hour on the internet she has been without a job for months but last month her payment was just working on the internet for a few hours go to this web site and read more www works c""]"
46,45,3293,45_journalism_news_journalists_media,"['journalism', 'news', 'journalists', 'media', 'nyt', 'reporting', 'journalist', 'press', 'stories', 'atlantic']","['the hour news cycle was the end of real journalism', ""you call this news no wonder the country's a mess with 'journalism' like this not like there's anything important to write about"", 'me too great journalism']"
47,46,3173,46_disqus_blocked_spam_bot,"['disqus', 'blocked', 'spam', 'bot', 'block', 'trolls', 'troll', 'comments', 'blocking', 'comment']","['twitter disqus', 'the problem with trolls is that they forget that disqus has a block button and that no one will read their spam after the first two posts', ""disqus won't let me like this comment enough""]"
48,47,3045,47_apple_iphone_windows_android,"['apple', 'iphone', 'windows', 'android', 'products', 'phone', 'microsoft', 'iq', 'mac', 'apples']","[""this author asserts that apple used to release revolutionary products regularly such ad the apple ii and the macintosh however the apple ii was released in and the macintosh in what came in between the apple ii plus the apple iie the apple iic etc where were the pundits back then declaring that apple had lost its way and had become a fashion company dressing the apple ii in new clothes each year or is the author simply upset that apple has a marketing department that likes words like revolutionary because surely apple is the only company that markets each year's model as better than last year's"", 'yes just like apple', 'an apple for where is this']"
49,48,2985,48_correlation_causation_consciousness_brain,"['correlation', 'causation', 'consciousness', 'brain', 'organ', 'study', 'hiv', 'aids', 'formula', 'organs']","['correlation is not causation man science is seriously in decline', 'causation vs correlation look it up', 'just a reminder correlation and causation are very different and a correlation rarely means there is causation']"
50,49,2974,49_jews_jewish_jew_anti,"['jews', 'jewish', 'jew', 'anti', 'semitic', 'semitism', 'judaism', 'antisemitism', 'hate', 'israel']","['jews are a race', 'the problem is that the french are french the italians are italians the british are british and the jews are austrian jews belgian jews british jews brooklyn jews bulgarian jews chinese jews egyptian jews ethiopian jew french jews german jew hungarian jews indian jews iranian jews iraqi jews italian jews japanese jews kenyan jews lithuanian jews moroccan jews nigerian jews russian jews turkish jews ugandan jews ukranian jews yemeni jews zimbabwean jews', 'got something against jews']"
