Topic,Count,Name,Representation,Representative_Docs
10,25074,9_california_texas_city_state,"['california', 'texas', 'city', 'state', 'states', 'blue', 'mayor', 'red', 'cities', 'detroit']","[""it actually doesn't matter what happens in the national elections state elections is the real heart of texas no matter what happens on the national level texas is big enough and strong enough to resist like they are doing right now i keep reading the news and wondering where the civil war will progress to the shooting stage either california or oregon but if texas becomes blue hell it might start here"", 'the rate is lower in texas than the blue states look it up', 'only california']"
11,24313,10_fbi_mueller_comey_flynn,"['fbi', 'mueller', 'comey', 'flynn', 'investigation', 'impeachment', 'cia', 'snowden', 'emails', 'nsa']","['as mueller said you guys are still at it', ""he was a cia or state department asset in south africa during the s and s i think around the time that bob mueller was the director of the fbi wouldn't that mean that mueller knew about the hoax"", 'no fbi']"
12,23737,11_prison_jury_jail_crime,"['prison', 'jury', 'jail', 'crime', 'trial', 'zimmerman', 'police', 'guilty', 'justice', 'criminal']","[""who's going to prison"", ""even if cops are charged with criminal activity like in the last few years has any of them even spent a night in jail they get off work with pay for months until it ever goes to court if it ever does if it goes to the grand jury the prosecutor gives the jury instructions to decide if the cop is guilty or not it's not the grand juries job to decided if he's guilty or not they are to determine if the d a has enough evidence to take it to court the d a acts more like a defense attorney than the prosecutor and of course he has no evidence or anything to prove the cops guilt in the rare event an officer gets put off the force for their actions they have a cops job waiting for them at a precinct in a town or two away"", 'how about either the death penalty or life in prison']"
13,22253,12_insurance_obamacare_health_healthcare,"['insurance', 'obamacare', 'health', 'healthcare', 'aca', 'care', 'medicare', 'medicaid', 'coverage', 'costs']","[""all sounds good if we had a government that cares for its people under the democrats aca million more people have insurance and everyone on the indiviudal market now has cheaper more expansive health insurance while everyone in the employer market now has free preventative care no caps on benefits access to mental health care etc etc but we have a bunch of oligarchs that get things their way and in our system profit comes first oh but under obamacare insurance company profits are capped meaning profits don't come first the same broken exchanges under those exchanges premiums were cut by more then and over million people got health insurance through them so if by broken you mean helps and works for millions of people you'd be correct do you have anything to say that is accurate or is it all just a bunch of talking points"", ""for some reason so many seem to think health insurance is some form of welfare that will pay your health care bills if you can't and they shouldn't charge you too much insurance has alway been a risk aversion scheme that is used to avoid bankruptcy from unusual and unexpected events you pay for insurance according to your risk there's no risk in any health event you already suffer from but i bet if you are willing to pay enough to cover the costs plus expenses and profit you could buy a policy you might even be able to buy auto insurance that pays for your oil change but it will cost you more than paying for the oil change yourself insurance is not non profit the problem with the cost of health insurance is the cost of health care not the insurance provider and of course your risk factors"", ""obamacare's a good start to try and bring the for profit health insurance costs down but nothing can compete with medicare for low overhead which stands at just if republicans hate obamacare so much why don't they join us liberals in calling for medicare for all""]"
14,22241,13_climate_warming_energy_global,"['climate', 'warming', 'energy', 'global', 'coal', 'solar', 'water', 'change', 'carbon', 'fossil']","[""humans have no power to change the earth's climate"", ""that won't happen climate change global warming is all about reducing human population no more no less"", ""now there's two wasted hours of his life that mr mann will never get back some fun quotes from infamous climate denying not scientists john boehner listen i m not qualified to debate the science over climate change but i am astute enough to understand that every proposal that has come out of this administration to deal with climate change involves hurting our economy and killing american jobs lisa nelson ceo of alec a lobbying group that works to kill statewide renewable energy programs and pushes laws to require climate denial teaching in public schools said i don t know the science on that we as an organization specifically do not comment on climate change rick scott when a reporter asked the republican governor of florida whether he thinks man made climate change is significantly affecting the weather scott responded well i m not a scientist he then banned the use of the terms global warming and climate change from all state publications and communications marco rubio on climate change i m not a scientist i m not qualified to make that decision there s a significant scientific dispute about that mitch king coal mcconnell i m not a scientist i m interested in protecting kentucky s economy joni ernst i don t know the science behind climate change in her case that's easy to believe because she thinks agenda poses a clear and present danger to the state of iowa bobby jindal was a biology major in college was named to the usa today all usa academic team and got a masters degree from oxford but he still pleads total ignorance when it comes to how much human activity contributes to global warming and how serious it is i d leave it to the scientists to decide how much what it means and what the consequences are he said let the scientists debate and figure that out the cult of climate denial that's being fomented by the white house and the congress is an affront to the intelligence of the large majority of americans who not only believe that global warming is both real and caused by humans but who also support legislative actions and federal spending to address its causes this batch of republicans and their dear leader are by far the greediest the most dishonest and most arrogant bunch of corporate sock puppets to ever darken the government with their presence the entire gop and the oval office should be declared super fund cleanup sites""]"
15,20778,14_border_immigration_illegal_illegals,"['border', 'immigration', 'illegal', 'illegals', 'mexico', 'immigrants', 'amnesty', 'aliens', 'borders', 'mexican']","['they are not immigrants they are illegal aliens and should be turned right around', 'neither side is going to do anything about the border', ""nobody is against legal immigration we're against illegal immigration""]"
16,16517,15_movie_movies_film_hollywood,"['movie', 'movies', 'film', 'hollywood', 'films', 'disney', 'characters', 'actors', 'watch', 'star']","['interesting movie', 'where have we seen that movie before', 'great movie']"
17,15577,16_covid_vaccine_virus_vaccines,"['covid', 'vaccine', 'virus', 'vaccines', 'flu', 'vaccinated', 'ebola', 'pandemic', 'coronavirus', 'deaths']","['still a death by covid', 'there s a vaccine for the wuhan virus', ""covid is a mind virus that's the really dangerous virus here""]"
18,14276,17_women_men_rape_gender,"['women', 'men', 'rape', 'gender', 'sex', 'male', 'sexual', 'female', 'woman', 'feminism']","['another straight while male who thinks about gay sex more than gay men do', ""this article sounds like nothing more than hate speech directed at men change the word man to asian black jew or any other word and this comes out as pure hate speech because it associates women haters with all men what i dont understand is that you women are directing this toward your dads brothers sons nephews friends and cousins that are men i attribute this hate more towards women that fear men then to any real threat what's wrong with you women men are not going to change until you neuter them all and then when you need them to protect you in battle they will be too timid and weak to keep the hoards of rapists from rd world countries and foreign women haters from destroying your eutopia of tame men and dominating women the whole article is a friggin job full of contradictions and fantasy think g d my wife and daughter know i'm there to protect love and cherish their existence you people need good psychological help to overcome your mental issues with men"", ""it's not about replacing masculinity with femininity it's about redefining masculinity feminism empowered women can there be a kind of masculinity that empowers men that doesn't have anything to do with women i often wonder what would men do with their life if it didn't revolve around women not trying to control women in intimate relationships impress women by obtaining a prestigious job money and luxury items seek attention from women on the job and in social settings etc etc feminism presented another choice for women their lives did not have to revolve around a man i think there needs to be an equivalent choice for men because men have gotten used to their lives revolving around women thanks to the patriarchy they go out of their way to attach feminism due to fear paranoia and insecurity if men had another option i think the attack on feminism would end tomorrow""]"
19,13216,18_nfl_football_players_sports,"['nfl', 'football', 'players', 'sports', 'team', 'game', 'nba', 'teams', 'baseball', 'sport']","[""unbelievable which is to say all too damned believable and that whole notion about these guys know what they're getting into and comparing them to soldiers or steelworkers is so infuriating precisely because the process of becoming a football player unlike that of soldier or steelworker begins in childhood could the nfl stock its teams with men who only began playing as adults maybe but right now the nfl depends upon men who became football players as boys that is long before they were in any kind of position to know what they're getting into and of course the fact that the nfl has gone out of its way to block the transmission of knowledge to present and future players thins out even more their already hollow commitment to player safety the nfl cares primarily for money and status the only way to get them to change their ways is to threaten both"", ""i'll expect kaepernick gone from the nfl and an apology from the league for players protesting before i ever watch another nfl game again"", ""what's an nfl""]"
20,12729,19_eat_meat_food_eating,"['eat', 'meat', 'food', 'eating', 'chicken', 'diet', 'fat', 'calories', 'weight', 'vegan']","['the name part was his her destiny the fake meat to me is good once a week i really do not miss real meat and i used to eat a lot of it years back', 'this is an easy one you want to lose weight eat less food', ""that's not true at all you can eat mcdonald's every day and not get fat you just have to not eat too much i could eat big macs a day and still be eating less than what i eat normally""]"
21,11976,20_israel_jews_jewish_palestinians,"['israel', 'jews', 'jewish', 'palestinians', 'israeli', 'palestinian', 'hamas', 'palestine', 'jew', 'gaza']","['he said what would become israel', 'israel does', 'israel first']"
22,11758,21_abortion_abortions_birth_fetus,"['abortion', 'abortions', 'birth', 'fetus', 'pregnancy', 'women', 'baby', 'babies', 'pro', 'parenthood']","['so every woman that gets an abortion is stupid', 'if you are against abortion but vote democrat you are voting for abortion', ""he's not pro life he's anti abortion""]"
23,11428,22_putin_russia_russian_russians,"['putin', 'russia', 'russian', 'russians', 'putins', 'kgb', 'trump', 'moscow', 'russias', 'ukraine']","['guess that is why trump gets along with putin', 'i believe putin d trump', 'good for putin bad for america']"
24,11326,23_biden_joe_bidens_president,"['biden', 'joe', 'bidens', 'president', 'trump', 'harris', 'hes', 'america', 'administration', 'vote']","['could be the same as biden', ""or up biden's"", 'now do biden']"
25,10675,24_gun_guns_nra_firearms,"['gun', 'guns', 'nra', 'firearms', 'carry', 'weapons', 'firearm', 'control', 'laws', 'background']","['does it say gun rights', ""yes of course i do but how did they get that gun in the first place why is so incredibly easy to get a gun in america why are there more guns in america than the entire population of the country why does america lead the world's wealthiest nations in per capita gun violence and in fact is higher than many low income nations those are the questions that people like yourself somehow never want to answer and by the way suicides by gun are also classified as gun violence"", 'not yet they still need the guns']"
26,9854,25_dog_animals_dogs_pig,"['dog', 'animals', 'dogs', 'pig', 'horse', 'sheep', 'pigs', 'rats', 'animal', 'goat']","['i meant an at the end we all need things not just animals just like a human a dog will treat you with love as you do not the same dogs will risk there lives for you a human will appreciate your love at first but soon that love will fade and they move on a dogs love remains', 'neither does your dog please stop it', 'did the dog tell you that']"
27,9270,26_china_chinese_chinas_communist,"['china', 'chinese', 'chinas', 'communist', 'trade', 'tpp', 'xi', 'beijing', 'usa', 'world']","['china is evil', ""because he's chinese"", 'what about china']"
28,8069,27_clown_clowns_hill_mike,"['clown', 'clowns', 'hill', 'mike', 'snl', 'dotard', 'circus', 'aoc', 'miller', 'espn']","['bush is a clown', 'one has nothing to do with the other you clown', 'the head clown']"
29,7635,28_socialism_communist_socialist_communism,"['socialism', 'communist', 'socialist', 'communism', 'marxist', 'communists', 'socialists', 'marxism', 'marxists', 'marx']","['ah even the dems dont want your socialism communism', 'which socialism', ""rather interesting there are never calls to fight socialism communism it was the enemy of america not so long ago one might almost think there's a plan to try and make the people believe socialism is a good thing there is a fascist oligarchy desperate to hold onto power through the tyranny of the marxist socialist communist agenda and this is just more evidence""]"
30,7488,29_marijuana_drugs_drug_pot,"['marijuana', 'drugs', 'drug', 'pot', 'cannabis', 'tobacco', 'smoking', 'heroin', 'pain', 'alcohol']","['holy shit can you believe this now we have the big money pharm corporations fighting for pain patients about damn time this should help put an end the discrimination atrocities and genocide the fda cdc dea congress state medical boards by taking pain medication away from people severely disabled by pain it is always about the money our government tells us they are trying to save lives by reducing opioid drug abuse what a joke if our government gave a shit about drugs killing people they would make tobacco illegal a drug that kills more people per year in the us than all the other drugs combined tobacco is a drug more addictive than heroin the us government would never make tobacco illegal it is a multi trillion dollar industry it is about the money it is always about the money in the great usa', ""we need to legalize all drugs not just marijuana study after study shows that legalizing drugs only causes a small increase in drug use while drug related deaths and drug related crimes go down dramatically by legalizing drugs we are able to control the quality and purity of drugs preventing illness and overdose take the stigma away from drug use so people aren't ashamed to get treatment for addiction collect some tax money on drug sales take away the incentive for a black market drug trade which is one of the main sources of funding for gangs and other criminal organizations and perhaps most importantly give people the freedom to make their own choices people should not be punished for choosing to use drugs as long as they are doing it in a responsible way its really messed up that we put people suffering from a disease in prison for showing symptoms of that diseases addicts using drugs i wrote a paper on this legalizing drugs will save this country billions of dollars save lives and reduce crime while our current system increases deaths and crime while costing us billions study after study proves this and there is almost no evidence against the legalization of drugs the only impediment is the general public who remains ignorant of the science"", ""a large amount of marijuana is not produced by the same type of people that fund terrorists the marijuana that is produced by cartels is largely sub quality stuff if marijuana is legalized there would be no reason for people to purchase cartel produced low quality brick weed furthermore plenty of people smoke only marijuana and do not use other drugs plus i would assume that if marijuana was legal it could be used to help some people stay off of harder drugs do some marijuana smokers move on to harder drugs sure but they might have done that even if marijuana didn't exist i know plenty of more people that tend to use harder drugs when drunk alcohol is more of a gateway imo""]"
31,6364,30_romney_mitt_romneys_bain,"['romney', 'mitt', 'romneys', 'bain', 'obama', 'tax', 'mormon', 'campaign', 'taxes', 'utah']","[""romney's game of confusion and chicken romney will replace obama romney care with romney obama care see romney on meet the press september these people think that we can't think and that we are all stupid"", 'and yet not as much as romney', ""that's right i agree with romney""]"
32,6216,31_facebook_twitter_fb_tweet,"['facebook', 'twitter', 'fb', 'tweet', 'social', 'tweets', 'media', 'account', 'users', 'google']","[""twitter's been around for at least years"", 'who is still on twitter', 'we already know how the dems and the gop are going to go after trump big tech google facebook twitter etc']"
33,5716,32_music_song_album_songs,"['music', 'song', 'album', 'songs', 'beatles', 'jazz', 'band', 'rock', 'artists', 'rap']","[""this article doesn't seem very scientific it looks like more of a critique of alive inside i don't think you can put that much emphasis on him liking cab calloway instead of mentioning religious music his daughter was the one who said he enjoyed religious music because he often discussed faith with her in the interview himself he talks about big band and dances so it seems that big band music also played a part in his history and memories as for music bringing confusion to clients with dementia they already suffer from confusion if the music causes them to express positive emotion instead of catatonia that is therapeutic and worthy of doing in regards to music triggering negative memories or emotions this is something that can happen across the board with anyone the possibility of a song triggering trauma for me does not keep me from listening to music as a whole it just keeps me from playing that song or artist i know persons with dementia can't express what music could cause trauma to them but if a clinician notices a song causing a negative reaction from client that clinician can always delete that song"", ""just once i'd like an article on the future of music to be about music and not technology and marketing"", 'where will they put the music']"
34,5172,33_eu_brexit_ukip_uk,"['eu', 'brexit', 'ukip', 'uk', 'europe', 'labour', 'britain', 'cameron', 'farage', 'referendum']","['the message should have been that we want to make the eu something that people voluntarily want to be in to make people want to be part of the eu the eu would have to be made into something radically different than what it is now than what it has become', ""but then it's not the eu they need to change it's their own politics"", 'ahead of may s total surrender brexit facts eu org goes back to basics extricating the uk from the clutches of an increasingly totalitarian eu was supposed to involve the return of sovereignty and democratic control to a newly independent and economically vibrant united kingdom pro brexit facts eu org summary what was brexit about leaving the obligation to transfer billions of pounds of the uk s wealth to the eu every year leaving the eu s open borders policy which requires free movement of eu nationals into the uk leaving the single market with its rules favouring eu businesses leaving the customs union which denies the uk the right to strike global trade deals leaving the eu s common external tariff which makes imported goods more expensive leaving the jurisdiction of a foreign court in luxembourg leaving the entire body of laws and directives which no british mp can alter leaving the hundreds of eu bodies governing the lives of british people leaving the eu s open waters policy which has decimated the uk s fishing fleet leaving the eu s dash towards building an eu army to compete with nato leaving the eu s imposition of its own foreign policy on the uk and leaving everything else that prevented the uk from acting as a sovereign country we want our country back now']"
35,5007,34_troll_trolls_trolling_delete,"['troll', 'trolls', 'trolling', 'delete', 'comments', 'link', 'comment', 'paste', 'links', 'post']","['you are a troll', 'where who when troll', 'and trolls like to troll']"
36,4911,35_wall_mexico_build_border,"['wall', 'mexico', 'build', 'border', 'fence', 'walls', 'built', 'pay', 'trump', 'building']","['how did he get over the wall', 'no wall is the other one', 'there seems to be something about a wall']"
37,4643,36_iran_iranian_iranians_nuclear,"['iran', 'iranian', 'iranians', 'nuclear', 'irans', 'deal', 'sanctions', 'mullahs', 'regime', 'agreement']","['iraq is not iran', 'the democrats must really love iran by now', 'like what iran']"
38,4530,37_korea_north_kim_nk,"['korea', 'north', 'kim', 'nk', 'korean', 'nuclear', 'koreans', 'south', 'jong', 'china']","['like north korea', 'north korea', 'not always see north korea']"
39,4404,38_evolution_universe_science_theory,"['evolution', 'universe', 'science', 'theory', 'gravity', 'einstein', 'physics', 'quantum', 'scientific', 'space']","['evolution lol', 'what do you think evolution is about', ""citizen you linked the same article as above slappy sorry i write to different people and i forget who i write what to i didn't notice any rebuttal from you as to the admission of this evolutionist who calls the a useful lie is he right or wrong how do you know and science doesn't lie true but science doesn t speak either the evidence we have from scientific observation experimentation etc must be interpreted by fallible humans who mostly use the evolutionary paradigm to interpret the facts we have about the unobservable unrepeatable and untestable past citizen it evolves see what i did there yes you just admitted that science is not truth it is always subject to change what we claim to know today is not really true trustworthy knowledge it is simply our current thinking just look how our thinking about evolution has evolved since darwin s time facts taught to kids years ago to prove evolution are now seen to be outright falsehoods the scientific arguments supporting evolution in the textbook at issue in the scope s trial is filled with falsehoods and yet people back then all thought it was true and these scientific facts were used to try and show how dumb creationists were it would be embarrassing for you to read that textbook now and see what evolutionists believed to be fact back then what it shows us is that even what we think we know about evolution is not really known it is very likely to change again and when it does how will we know that we are right then you don t you simply have to trust the currently in vogue interpretation of scientists and hope it is right this is totally different from running experiments in the lab where you can show over and over again test over and over again a particular hypothesis this kind of certainty is not possible with historical science personally since it mostly cannot even use the scientific method i don t even believe evolution should qualify as science only since darwin s day have just so stories ad hoc explanations qualified as scientific evidence true science itself may not lie but what that means then is that we humans make many fallible interpretations of what they learn from science our ideas about the past are not very trustworthy""]"
40,4208,39_joe_joes_creepy_pedo,"['joe', 'joes', 'creepy', 'pedo', 'uncle', 'sleepy', 'joementia', 'old', 'slow', 'hes']","['joe who', 'you joe', 'go joe']"
41,4126,40_nazi_hitler_nazis_mussolini,"['nazi', 'hitler', 'nazis', 'mussolini', 'reich', 'germany', 'nuremberg', 'adolf', 'german', 'hitlers']","[""refresh my memory did any of the defendants at nuremberg say that their nazi party was not the same as hitler's nazi party and that they were peaceful benevolent altruistic nazis while hitler and the war atrocities were some fringe group that did not represent the nazi party as a whole"", 'why do you think like a nazi', 'cry some more nazi']"
42,3745,41_cruz_ted_cruzs_trump,"['cruz', 'ted', 'cruzs', 'trump', 'rubio', 'establishment', 'senator', 'hes', 'campaign', 'beck']","['they mostly like cruz', 'so not trump or cruz', 'cruz is yours']"
43,3553,42_oil_pipeline_gas_prices,"['oil', 'pipeline', 'gas', 'prices', 'keystone', 'pipelines', 'crude', 'drilling', 'energy', 'price']","[""without increased saudi oil production oil would be barrel meanwhile conventional oil production in the u s is still declining without fracking american oil would already be in deep trouble but fracking is not a long term solution because of the insane depletion rates in years fracked wells produce only a fraction of the flow seen in the first year canada is nearby but they sell oil from tar sands we used to get a lot of cheap heavy oil from venezuela but production has fallen u s conventional oil when found is still relatively cheap but requires offshore platforms fracked oil can't be sustained below barrel attempts to drill for oil in the arctic were a major fiasco republicans in washington think oil is in great shape for years to come wonder who pays their campaign bills meanwhile prices for solar wind and batteries continue to fall reality we're already in a transition"", 'what happens to the price of oil if a democrat is elected potus and democrats control congress they would stop fracking and cut american production of anything that comes from oil hello per barrel oil prices up from per bbl today who benefits the most in all the world from such a dramatic increase in the price of oil the biggest oil producers and exporters benefit the most the us is one of the largest but in the us oil minerals are owned privately who are countries that would benefit the most by per barrel oil they are saudi arabia russia venezuela iran russia would almost double the revenue it gets from its vast oil reserves why would russia want to support trump a man who is all that is standing between a barrel oil prices and a barrel oil prices the media know this and never ever ever point this out to the public', 'they have oil']"
44,3416,43_rinos_rino_rove_karl,"['rinos', 'rino', 'rove', 'karl', 'republican', 'party', 'democrats', 'vote', 'cornyn', 'conservative']","['the rinos want it too', 'and rinos', 'we call the rinos']"
45,3262,44_beer_coffee_drink_wine,"['beer', 'coffee', 'drink', 'wine', 'starbucks', 'drinking', 'beers', 'drunk', 'vodka', 'whiskey']","[""i drink a pot of coffee a day have for years i've only thrown away one cup of coffee in my life starbucks"", 'i like beer', 'i drink american coffee']"
46,3216,45_lie_truth_lies_lying,"['lie', 'truth', 'lies', 'lying', 'liar', 'liars', 'lied', 'youre', 'read', 'tell']","['they lie', ""you can't tell a lie from the truth that's your problem"", 'anyone who lies about who they are will lie about anything and everything else']"
47,2979,46_cat_cats_snake_snakes,"['cat', 'cats', 'snake', 'snakes', 'kitty', 'sleep', 'fart', 'dogs', 'unicorns', 'bed']","['nice cat', 'i have a black and white cat', 'any cat would make a good president though']"
48,2730,47_internet_cable_neutrality_net,"['internet', 'cable', 'neutrality', 'net', 'isps', 'content', 'censorship', 'comcast', 'netflix', 'bandwidth']","[""net neutrality is yet another in a long list of terms that the left has twisted the original meaning to fit their own ends true net neutrality would prohibit internet providers from discriminating or prohibiting transmission based on content providers would still be able to control content based on it's impact on the overall network e g speed size quality of service etc the left wants to use it as a fairness doctrine on steroids if not outright censorship like it or not internet access is now a utility but it should be up to congress as our constitution requires to declare it such and not an unelected agency"", 'how many cable internet providers do you have in your area', ""is that just cable content or that's that include your internet as well""]"
49,2700,48_science_scientists_scientific_scientist,"['science', 'scientists', 'scientific', 'scientist', 'extinction', 'food', 'species', 'research', 'settled', 'farm']","['i believe trump more than science how about you', ""it's the 'science' that's how"", 'if it s the third it s not science']"
50,2695,49_gmo_monsanto_cancer_gmos,"['gmo', 'monsanto', 'cancer', 'gmos', 'organic', 'crops', 'glyphosate', 'pesticides', 'food', 'foods']","[""monsanto doesn't push gmos any more than they push non gmo they each have their own applications roundup has been off patent for over a decade now most glyphosate sold is not roundup the application rate for herbicides is the same gmo or not only the timing changes with gmos not the amount the max application rate for glyphosate is oz per year per acre hardly flooded no farmer uses more herbicide to kill resistant weeds they just use a different herbicide"", ""i said monsanto runs the fda not that gmo crops can be labeled organic though studies have shown that indeed there are multiple cases where gmo crops finding their way into certified organic products that isn't surprising i point out that a corrupt mega corporation responsible for running starvation and campaigns around the world and responsible for poisoning food supplies has control over our food production system and even the regulation system and you say go drug yourself i bet monsanto is happy to have people like you around"", ""i am entirely aware the monsanto is driving the conversation on gmo crops i find this incredibly unfortunate though since there are whole bunches of very beneficial uses of gmo out there and every time people do something about gmos because it hurts monsanto they're doing even more harm to the far smaller groups out there trying to use gmos to actually help people yes it's about monsanto but it is also about drought and pest resistant crops and about crops which are bred to contain critical vitamins in them and about crops that taste or ship better and about crops that can be grown locally more widely by making a blanket no gmos statement we are harming the smaller groups trying to do good and since they don't have monsanto's over sized lever with the government they die out while monsanto survives if we want to stop round up ready crops then let's do that for example we can place stricter limits on the amount of chemicals farmers are allowed to add to any crops be they gmo or otherwise but let's not stop the tool that creates them and creates many more beneficial products as well that's self defeating logic and it harms monsanto the least of all the gmo groups""]"
51,2654,50_mcconnell_reid_filibuster_harry,"['mcconnell', 'reid', 'filibuster', 'harry', 'senate', 'mitch', 'reids', 'mcconnells', 'murkowski', 'majority']","['can you say harry reid', 'stop there when has mcconnell ever been right', 'could be harry reid']"
52,2610,51_soros_george_funded_paid,"['soros', 'george', 'funded', 'paid', 'money', 'soross', 'evil', 'funding', 'nazi', 'globalist']","['so is soros', 'and soros', ""where's soros""]"
53,2559,52_christie_jeb_flake_christies,"['christie', 'jeb', 'flake', 'christies', 'bush', 'chris', 'corker', 'nj', 'jebs', 'jersey']","['jeb jeb who', 'when will christie get his', ""who's jeb""]"
54,2528,53_tea_party_teabaggers_partiers,"['tea', 'party', 'teabaggers', 'partiers', 'gop', 'baggers', 'republican', 'republicans', 'movement', 'teabagger']","['thanks tea party', 'tea party', 'there is no tea party']"
55,2515,54_fascist_fascism_fascists_war,"['fascist', 'fascism', 'fascists', 'war', 'wing', 'left', 'military', 'congress', 'mussolini', 'power']","['both are fascist and therefore the same', 'they are not fascist at all do you even know what fascism is', 'if one is opposed to anti fascism one might just be a fascist']"
56,2405,55_africa_south_refugees_zimbabwe,"['africa', 'south', 'refugees', 'zimbabwe', 'apartheid', 'african', 'africans', 'invasion', 'passports', 'passport']","['i vote for africa', 'where in africa', 'in africa']"
57,2362,56_article_read_comments_articles,"['article', 'read', 'comments', 'articles', 'comment', 'rwnj', 'reading', 'commenting', 'link', 'post']","['what what is this article about', ""that's not what the article is about"", 'it is in the article']"
58,2360,57_facts_evidence_hominem_ad,"['facts', 'evidence', 'hominem', 'ad', 'claim', 'claims', 'proof', 'gfy', 'truth', 'youre']","['where do you get your facts', 'well facts are facts', 'i go by facts and evidence that you know']"
59,2339,58_msm_huckabee_abrams_news,"['msm', 'huckabee', 'abrams', 'news', 'fake', 'trump', 'media', 'report', 'lies', 'truth']","[""won't see this on any msm"", 'sounds like our msm', 'the german msm is just as bad as the limey msm and the french msm and the spanish msm and the belgian msm']"
60,2264,59_christmas_merry_santa_holiday,"['christmas', 'merry', 'santa', 'holiday', 'claus', 'holidays', 'easter', 'halloween', 'hipster', 'gift']","['it s christmas time and we have a trump christmas miracle to celebrate god bless america someone had to say it and i am glad it was said we are living in one of the best times in a long time merry christmas and happy new year', 'well it is a merry christmas after all', 'christmas has something for everyone']"
61,2233,60_ukraine_crimea_ukrainian_russia,"['ukraine', 'crimea', 'ukrainian', 'russia', 'russian', 'ukrainians', 'kiev', 'putin', 'russians', 'ukraines']","['would that be worse for ukraine', 'so does the ukraine why give it more', 'he must be talking about ukraine']"
62,2210,61_google_fjb_search_gateway,"['google', 'fjb', 'search', 'gateway', 'googles', 'duckduckgo', 'pundit', 'gab', 'snopes', 'tgp']","['oh no google is the enemy google will get us all oh no scary', ""wrong it's your opinion of google"", 'he has no idea what s coming he should google it']"
63,2193,62_hunter_rudy_giuliani_xiden,"['hunter', 'rudy', 'giuliani', 'xiden', 'hunters', 'biden', 'xi', 'joe', 'crack', 'rudys']","['where is hunter', 'but but hunter', 'hunter hunter who']"
64,2135,63_data_numbers_statistics_clock,"['data', 'numbers', 'statistics', 'clock', 'number', 'trend', 'dream', 'stats', 'clocks', 'dreams']","['do we have data to support that', 'need more data', 'the data was out there before']"
65,2130,64_www_month_nbsp_months,"['www', 'month', 'nbsp', 'months', 'om', 'hour', 'home', 'computer', 'internet', 'online']","[""my friend's sister makes hour on the laptop she has been out of a job for months but last month her pay check was just working on the laptop for a few hours read more on this site www pro m"", ""my friend's step mother makes every hour on the internet she has been without a job for months but last month her payment was just working on the internet for a few hours go to this web site and read more www works c type your comment here"", ""my friend's step mother makes every hour on the internet she has been without a job for months but last month her payment was just working on the internet for a few hours go to this web site and read more www works c""]"
66,2107,65_id_voter_ids_vote,"['id', 'voter', 'ids', 'vote', 'voting', 'photo', 'license', 'fraud', 'drivers', 'card']","['which is why the democrats are so against voter id', 'all this over voter id', 'every voter has an id']"
67,2003,66_blocked_block_flagged_blocking,"['blocked', 'block', 'flagged', 'blocking', 'bot', 'troll', 'bye', 'user', 'comment', 'trolls']","[""no you're blocked"", 'you are now blocked', 'you still here blocked']"
68,2001,67_unions_union_workers_dues,"['unions', 'union', 'workers', 'dues', 'labor', 'sector', 'members', 'employees', 'public', 'benefits']","['and the unions love it', 'there should be no government unions', ""unions it's time to go""]"
69,1963,68_ryan_paul_ryans_nehlen,"['ryan', 'paul', 'ryans', 'nehlen', 'speaker', 'lyin', 'trump', 'gop', 'hes', 'house']","['paul ryan', 'paul ryan', 'because of ryan']"
70,1950,69_mccain_john_mccains_hero,"['mccain', 'john', 'mccains', 'hero', 'ryan', 'pow', 'senator', 'palin', 'war', 'graham']","['he and mccain both on their way out mccain feet first', 'along with john mccain', ""with mccain it's mccain first party second and country third mccain will say or do anything as long as it's beneficial to john mccain""]"
71,1939,70_book_books_fiction_read,"['book', 'books', 'fiction', 'read', 'novel', 'novels', 'reading', 'stooges', 'hunger', 'monty']","[""that's how i buy books also"", 'the book is great', 'books of fiction']"
72,1917,71_turkey_kurds_erdogan_turks,"['turkey', 'kurds', 'erdogan', 'turks', 'turkish', 'kurdish', 'nato', 'isis', 'turkeys', 'kurdistan']","['add turkey to your list erdogan is on his way to turn turkey into a dictatorship', 'some would say trump is a turkey', ""turkey is not attacking kurds there are millions of kurds living in turkey turkey is after pkk ypg terrorists turkey has every right to defend it's borders just as the us is building a wall at the border with mexico""]"
73,1882,72_barr_durham_ag_barrs,"['barr', 'durham', 'ag', 'barrs', 'mueller', 'laptop', 'report', 'investigation', 'deep', 'indictments']","['by barr', 'barr will get her out', 'no barr will do']"
74,1878,73_cuba_cuban_castro_cubans,"['cuba', 'cuban', 'castro', 'cubans', 'fidel', 'embargo', 'castros', 'communist', 'batista', 'regime']","['i think it is in cuba', 'go back to cuba', ""cuba where he's from""]"
