post_idx,target,stance
75,cowboys and Indians theme,FAVOR
75,the left,AGAINST
75,transgenders,AGAINST
76,Venezuelans,NONE
76,socialism,AGAINST
76,Democrats running for president in 2020,AGAINST
76,entitlements,AGAINST
77,tuition money,AGAINST
77,college students,AGAINST
78,ESPN,AGAINST
78,Viewers/subscribers,FAVOR
78,Despicable hosts,AGAINST
78,Pres. Trump,FAVOR
79,DACA amnesty,AGAINST
79,illegal aliens,AGAINST
79,border,AGAINST
80,Musicians,AGAINST
81,Google,AGAINST
81,leftists,AGAINST
82,Andrew Yang,AGAINST
82,vegetarian diet,AGAINST
83,Bernie Sanders,AGAINST
83,Hillary and Bill,AGAINST
83,Barry,AGAINST
83,Nancy,AGAINST
83,Maxine,AGAINST
83,Elijah,AGAINST
83,Pres. Trump,FAVOR
84,Vatican officials,AGAINST
84,Catholic church,AGAINST
85,Tom Arnold's behavior,AGAINST
85,left wing,AGAINST
85,media hacks,AGAINST
86,DACA,AGAINST
86,liberal/socialist justices,AGAINST
86,the Constitution,FAVOR
87,illegal Mexicans,AGAINST
87,Mexican Americans,NONE
88,left wing media hacks,AGAINST
88,Democrat Party co-conspirators,AGAINST
89,Sweden,FAVOR
89,Germany,FAVOR
89,France,FAVOR
90,Taylor Swift,AGAINST
91,Venezuela,AGAINST
91,Mauro,AGAINST
92,voting by mail,FAVOR
92,Democrats,FAVOR
93,Samantha Power,AGAINST
93,NSA & DNI employees,AGAINST
93,Democrats,AGAINST
93,US media,AGAINST
94,Jared Kushner,AGAINST
94,President Trump,FAVOR
94,Tucker Carlson,FAVOR
95,American Patriot,FAVOR
95,America,FAVOR
96,Germany,AGAINST
96,China,AGAINST
96,Merkel,AGAINST
96,Trump,FAVOR
97,Marxist BLM,AGAINST
97,"NFL, NBA, MLB",AGAINST
97,Marxist communists,AGAINST
98,Graham,AGAINST
98,Ted Cruz,FAVOR
99,WEF world,AGAINST
99,Gates,AGAINST
99,middle class,AGAINST
99,Inflation Reduction bill,AGAINST
