target,stance,stance_type,explanation,comment_id,comment_date
Barack Obama,AGAINST,EXPLICIT,"I agree with the following: Obama should be left in prison, indicating a negative stance towards him.",2129722739,2015-07-11 03:02:11
Democrats,AGAINST,EXPLICIT,I agree with the following: Debbie Wasserman Schultz is being hypocritical.,1553466514,2014-08-21 20:24:09
Politicians,AGAINST,EXPLICIT,I agree with the following: Debbie Wasserman Schultz is being hypocritical.,1553466514,2014-08-21 20:24:09
America / USA,AGAINST,EXPLICIT,I agree with the following: John Kerry hates the USA.,2194333791,2015-08-14 19:17:03
Democrats,AGAINST,EXPLICIT,"I agree with the following: John Kerry, a Democrat, hates the USA.",2194333791,2015-08-14 19:17:03
Barack Obama,AGAINST,EXPLICIT,I agree with the following: Barack Obama hates the USA.,2194333791,2015-08-14 19:17:03
Politicians,AGAINST,EXPLICIT,"I agree with the following: John Kerry, a politician, hates the USA.",2194333791,2015-08-14 19:17:03
The government,AGAINST,EXPLICIT,"I agree with the following: The government, led by figures like John Kerry, hates the USA.",2194333791,2015-08-14 19:17:03
Liberals,AGAINST,EXPLICIT,"I agree with the following: Liberals, like John Kerry, hate the USA.",2194333791,2015-08-14 19:17:03
Abortion,AGAINST,EXPLICIT,"I agree with the following: The commenter criticizes the belief that Planned Parenthood does not perform abortions, referring to it as an 'abortion mill,' indicating a clear stance against abortion.",2203169837,2015-08-19 16:03:11
Social welfare,AGAINST,EXPLICIT,I agree with the following: The government's increasing involvement in social welfare is concerning and overreaching.,1014167277,2013-08-22 23:28:40
Healthcare,AGAINST,EXPLICIT,I agree with the following: Government involvement in medical care is a sign of overreach.,1014167277,2013-08-22 23:28:40
Jobs are (available | good),AGAINST,EXPLICIT,I agree with the following: Government control over hiring and livelihoods is problematic.,1014167277,2013-08-22 23:28:40
Capitalism,AGAINST,IMPLICIT,I agree with the following: Excessive government control undermines capitalist principles.,1014167277,2013-08-22 23:28:40
Socialism / Communism,AGAINST,IMPLICIT,I agree with the following: Government overreach is akin to socialist principles.,1014167277,2013-08-22 23:28:40
Food,AGAINST,EXPLICIT,I agree with the following: Government control over purchasing food is concerning.,1014167277,2013-08-22 23:28:40
America / USA,AGAINST,EXPLICIT,I agree with the following: The current state of government control in America is concerning.,1014167277,2013-08-22 23:28:40
Economy is good,AGAINST,IMPLICIT,I agree with the following: Government overreach negatively impacts the economy.,1014167277,2013-08-22 23:28:40
Politicians,AGAINST,EXPLICIT,I agree with the following: Politicians are overreaching with government control.,1014167277,2013-08-22 23:28:40
The government,AGAINST,EXPLICIT,I agree with the following: The government's increasing involvement in various aspects of life is concerning.,1014167277,2013-08-22 23:28:40
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: The GOP should dissolve and its members should join the Democratic Party.,2175130554,2015-08-05 05:35:30
Democrats,FAVOR,EXPLICIT,I agree with the following: The GOP members should join the Democratic Party.,2175130554,2015-08-05 05:35:30
Immigration / immigrants,AGAINST,IMPLICIT,"I agree with the following: The comment implies that slipping across the border is a negative action, suggesting a stance against immigration.",2257497960,2015-09-16 21:51:24
Police,AGAINST,IMPLICIT,"I agree with the following: The mention of authorities investigating implies avoidance, suggesting a negative stance towards police.",2257497960,2015-09-16 21:51:24
Crime,AGAINST,IMPLICIT,"I agree with the following: The comment suggests someone is in hiding due to an investigation, implying a negative stance towards crime.",2257497960,2015-09-16 21:51:24
The government,AGAINST,IMPLICIT,I agree with the following: The mention of authorities investigating implies a negative stance towards the government.,2257497960,2015-09-16 21:51:24
Immigration / immigrants,AGAINST,EXPLICIT,I agree with the following: Merkel's immigration policies are bringing negative consequences to Germany.,2439205768,2016-01-04 17:41:18
Crime,AGAINST,EXPLICIT,I agree with the following: The comment implies criticism of criminal acts being imported into Germany.,2439205768,2016-01-04 17:41:18
Politicians,AGAINST,EXPLICIT,I agree with the following: The comment criticizes Merkel's handling of immigration policies.,2439205768,2016-01-04 17:41:18
The government,AGAINST,EXPLICIT,I agree with the following: The government's immigration policies are criticized for negative outcomes.,2439205768,2016-01-04 17:41:18
Democrats,FAVOR,EXPLICIT,I agree with the following: Democrats assuming their natural dominance and taking the House again.,1773373596,2015-01-05 19:36:46
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: Doubt that the GOP will remove Boehner as Speaker.,1773373596,2015-01-05 19:36:46
Healthcare,AGAINST,EXPLICIT,"I agree with the following: The GOP fully funded Obamacare, which is a negative action.",1595766554,2014-09-19 04:17:17
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: The GOP despises their supporters and are elitist.,1595766554,2014-09-19 04:17:17
Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: Amnesty is being tabled until after the election, indicating opposition.",1595766554,2014-09-19 04:17:17
Military,AGAINST,EXPLICIT,I agree with the following: Arming moderate Muslims in Syria supports ISIS and Al Qaeda.,1595766554,2014-09-19 04:17:17
Elites,AGAINST,EXPLICIT,I agree with the following: The GOP and Democrats are elitist.,1595766554,2014-09-19 04:17:17
America / USA,AGAINST,EXPLICIT,I agree with the following: The government's actions are detrimental.,1595766554,2014-09-19 04:17:17
Democrats,AGAINST,EXPLICIT,I agree with the following: Democrats are elitist.,1595766554,2014-09-19 04:17:17
Politicians,AGAINST,EXPLICIT,I agree with the following: Politicians are elitist and do not act in the people's interest.,1595766554,2014-09-19 04:17:17
The government,AGAINST,EXPLICIT,I agree with the following: The government's actions are harmful.,1595766554,2014-09-19 04:17:17
Terrorism,AGAINST,EXPLICIT,I agree with the following: Arming groups in Syria supports terrorism.,1595766554,2014-09-19 04:17:17
Muslims,AGAINST,EXPLICIT,I agree with the following: Arming moderate Muslims is criticized.,1595766554,2014-09-19 04:17:17
Movies,FAVOR,EXPLICIT,"I agree with the following: Accessing movies through streaming services like Netflix, Hulu, and Amazon Prime is preferable.",2268312669,2015-09-23 00:54:31
Sport,FAVOR,EXPLICIT,I agree with the following: Accessing sports games through an HDTV antenna is preferable.,2268312669,2015-09-23 00:54:31
Christianity,AGAINST,EXPLICIT,I agree with the following: The Pope is corrupting the institution of Christianity.,2361070052,2015-11-15 16:53:47
Christians,AGAINST,EXPLICIT,I agree with the following: The Pope is not seen as a true Christian.,2361070052,2015-11-15 16:53:47
Immigration / immigrants,AGAINST,EXPLICIT,I agree with the following: Refugees will harm Michael Moore as ISIS does to non-believers.,2371332407,2015-11-21 05:40:26
Crime,AGAINST,EXPLICIT,I agree with the following: Refugees will commit violent acts against Michael Moore.,2371332407,2015-11-21 05:40:26
Terrorism,AGAINST,EXPLICIT,I agree with the following: ISIS's violent actions against non-believers are condemned.,2371332407,2015-11-21 05:40:26
Muslims,AGAINST,EXPLICIT,"I agree with the following: Refugees, many of whom are Muslim, will harm Michael Moore.",2371332407,2015-11-21 05:40:26
Islam,AGAINST,EXPLICIT,I agree with the following: Muslims will commit violent acts against Michael Moore.,2371332407,2015-11-21 05:40:26
Police,AGAINST,EXPLICIT,"I agree with the following: The police were not present when needed, which is a failure in their duty.",2494156924,2016-02-03 17:50:22
Military,FAVOR,EXPLICIT,I agree with the following: The WWII veteran's actions prove the effectiveness and bravery of military personnel.,2494156924,2016-02-03 17:50:22
America / USA,FAVOR,EXPLICIT,"I agree with the following: The veteran's actions reflect positively on America, showcasing its strength and resilience.",2494156924,2016-02-03 17:50:22
Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: The Republican Party is ineffective in stopping Obama's policies, such as funding Obamacare, indicating a lack of strong opposition.",1873803030,2015-02-24 23:56:56
America / USA,AGAINST,EXPLICIT,"I agree with the following: The comparison of Congress to the Roman Senate suggests a decline in effectiveness, indicating a negative stance towards the current state of America.",1873803030,2015-02-24 23:56:56
Barack Obama,FAVOR,EXPLICIT,I agree with the following: The Republican Party's inability to stop Obama's policies indicates that Obama is successfully implementing his agenda.,1873803030,2015-02-24 23:56:56
Politicians,AGAINST,EXPLICIT,I agree with the following: The comparison of Congress to the Roman Senate under Caesar suggests that politicians are ineffective and merely rubber-stamping decisions.,1873803030,2015-02-24 23:56:56
The government,AGAINST,EXPLICIT,"I agree with the following: The government is compared to the ineffective Roman Senate, indicating a negative stance towards its effectiveness.",1873803030,2015-02-24 23:56:56
Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: The person in question shouldn't have been in the country in the first place, indicating opposition to their immigration status.",1763659045,2014-12-29 21:47:13
Donald Trump,FAVOR,EXPLICIT,I agree with the following: I like that bit about Trump coming for them. We can only hope so.,2401665017,2015-12-09 17:35:41
Movies,AGAINST,EXPLICIT,I agree with the following: 'Stroker Ace' is a bad movie and its insulting nature is questionable.,1793256599,2015-01-15 01:55:13
Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: The comment suggests that the immigration system allowed Osama Bin Laden to obtain a green card, implying criticism of the system.",1731485929,2014-12-08 15:28:13
Journalists,AGAINST,EXPLICIT,"I agree with the following: The comment suggests that journalists and media were fooled, indicating criticism.",1731485929,2014-12-08 15:28:13
America / USA,AGAINST,EXPLICIT,I agree with the following: The comment implies criticism of the USA for allowing Osama Bin Laden to hide there.,1731485929,2014-12-08 15:28:13
Media,AGAINST,EXPLICIT,"I agree with the following: The comment suggests that the media was fooled, indicating criticism.",1731485929,2014-12-08 15:28:13
Democrats,AGAINST,EXPLICIT,"I agree with the following: The comment criticizes Obama, a Democrat, for giving Bin Laden a green card.",1731485929,2014-12-08 15:28:13
Barack Obama,AGAINST,EXPLICIT,I agree with the following: The comment criticizes Obama for giving Bin Laden a green card.,1731485929,2014-12-08 15:28:13
Politicians,AGAINST,EXPLICIT,I agree with the following: The comment criticizes politicians Obama and Boehner for giving Bin Laden a green card.,1731485929,2014-12-08 15:28:13
The government,AGAINST,EXPLICIT,"I agree with the following: The comment suggests the government agencies (FBI, CIA) were fooled, indicating criticism.",1731485929,2014-12-08 15:28:13
Feminism,AGAINST,EXPLICIT,"I agree with the following: The comment mocks Bin Laden becoming a feminist, implying criticism of feminism.",1731485929,2014-12-08 15:28:13
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: The GOP's actions and policies are criticized as negative.,2453822944,2016-01-12 18:04:03
Drugs,AGAINST,IMPLICIT,"I agree with the following: Being stupid is compared to being high, which is a negative comparison.",2453822944,2016-01-12 18:04:03
Politicians,AGAINST,EXPLICIT,I agree with the following: Politicians like Ryan are seen as stupid.,2453822944,2016-01-12 18:04:03
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: Republicans are criticized for lacking courage and using deceptive tactics regarding immigration policy.,1818883269,2015-01-27 02:12:44
Immigration / immigrants,AGAINST,EXPLICIT,I agree with the following: The Republican approach to immigration is criticized as dishonest and ineffective.,1818883269,2015-01-27 02:12:44
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: Both political parties are in cahoots on this.,2319224306,2015-10-21 15:57:35
Immigration / immigrants,AGAINST,EXPLICIT,I agree with the following: You can't even call an illegal an illegal anymore!,2319224306,2015-10-21 15:57:35
Diversity,AGAINST,IMPLICIT,I agree with the following: Europeans are going along pretty peacefully with their own cultural suicide.,2319224306,2015-10-21 15:57:35
America / USA,AGAINST,IMPLICIT,I agree with the following: The bulk of Americans seem to be following right along with them.,2319224306,2015-10-21 15:57:35
Democrats,AGAINST,EXPLICIT,I agree with the following: Both political parties are in cahoots on this.,2319224306,2015-10-21 15:57:35
Politicians,AGAINST,EXPLICIT,I agree with the following: Both political parties are in cahoots on this.,2319224306,2015-10-21 15:57:35
The government,AGAINST,EXPLICIT,I agree with the following: Both political parties are in cahoots on this.,2319224306,2015-10-21 15:57:35
Republicans (GOP),FAVOR,EXPLICIT,I agree with the following: Jeb Bush is simpatico with Ramos.,2221122902,2015-08-27 14:48:04
Journalists,FAVOR,EXPLICIT,I agree with the following: Jeb Bush is simpatico with Ramos.,2221122902,2015-08-27 14:48:04
Journalists,AGAINST,EXPLICIT,"I agree with the following: Journalists are submitting to authority like the pledges in 'Animal House', implying criticism of their compliance.",2119360285,2015-07-06 13:15:21
Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: The GOP establishment is criticized for being motivated by financial gain, suggesting they are in it for how much they can eat at the trough.",2513770220,2016-02-14 22:36:31
Democrats,AGAINST,IMPLICIT,"I agree with the following: The term 'leftist' may imply a critique of Democrats, suggesting they are similarly motivated by financial gain.",2513770220,2016-02-14 22:36:31
Christianity,FAVOR,EXPLICIT,I agree with the following: Prominent Protestant pastors and the Catholic Church should have taken a stand against Roe v Wade in 1973.,2423370176,2015-12-23 17:36:06
Abortion,AGAINST,EXPLICIT,I agree with the following: We wouldn't be living with the effects of Roe v Wade today if prominent Protestant pastors and the Catholic Church had pushed back in 1973.,2423370176,2015-12-23 17:36:06
Christians,FAVOR,EXPLICIT,I agree with the following: Prominent Protestant pastors and the Catholic Church should have taken a stand against Roe v Wade in 1973.,2423370176,2015-12-23 17:36:06
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: I would like to sic the dogs on some of these guys.,1672937646,2014-11-02 21:30:48
Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: The commenter is critical of Mitch McConnell, a Republican, implying opposition to the GOP.",1751668075,2014-12-20 15:45:40
Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: The commenter criticizes McConnell for not securing the border, indicating opposition to immigration policies.",1751668075,2014-12-20 15:45:40
Elites,AGAINST,EXPLICIT,"I agree with the following: The commenter criticizes McConnell for being influenced by donors, indicating opposition to elites.",1751668075,2014-12-20 15:45:40
America / USA,FAVOR,EXPLICIT,"I agree with the following: The commenter urges McConnell to side with Team America, indicating support.",1751668075,2014-12-20 15:45:40
Barack Obama,FAVOR,EXPLICIT,"I agree with the following: The commenter advises McConnell not to oppose Obama on Cuba, indicating support for Obama.",1751668075,2014-12-20 15:45:40
Conservatives,AGAINST,EXPLICIT,"I agree with the following: The commenter is critical of McConnell, a conservative, indicating opposition.",1751668075,2014-12-20 15:45:40
Politicians,AGAINST,EXPLICIT,"I agree with the following: The commenter criticizes McConnell for being influenced by donors, indicating opposition to politicians.",1751668075,2014-12-20 15:45:40
The government,AGAINST,EXPLICIT,"I agree with the following: The commenter criticizes McConnell's actions, indicating opposition to the government.",1751668075,2014-12-20 15:45:40
America / USA,AGAINST,EXPLICIT,"I agree with the following: The U.S. is failing to contain Iran, leading to regional instability and conflict.",1835470109,2015-02-04 22:57:48
Democrats,AGAINST,EXPLICIT,I agree with the following: The Democratic administration's policies are criticized for being weak on Iran.,1835470109,2015-02-04 22:57:48
Barack Obama,AGAINST,EXPLICIT,I agree with the following: Obama's policies are blamed for ensuring war and nuclear proliferation.,1835470109,2015-02-04 22:57:48
Politicians,AGAINST,EXPLICIT,I agree with the following: Politicians like Obama are criticized for their handling of foreign policy.,1835470109,2015-02-04 22:57:48
The government,AGAINST,EXPLICIT,I agree with the following: The government's policies are leading to regional instability and conflict.,1835470109,2015-02-04 22:57:48
Liberals,AGAINST,EXPLICIT,I agree with the following: Liberal policies are criticized for being weak on Iran.,1835470109,2015-02-04 22:57:48
Terrorism,AGAINST,EXPLICIT,I agree with the following: The rise of Iranian proxies and Islamic State is a concern.,1835470109,2015-02-04 22:57:48
Barack Obama,FAVOR,EXPLICIT,I agree with the following: Grassley has approved all of Obama's nominees.,2519997300,2016-02-17 20:35:56
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: People voting in the GOP primary aren't right in the head.,2503739168,2016-02-09 04:21:43
Democrats,AGAINST,EXPLICIT,"I agree with the following: The Democratic party is associated with negative actions and policies, such as bypassing the Senate with an agreement instead of a treaty, and using executive orders to amend laws unilaterally.",1934673645,2015-03-29 16:50:33
Barack Obama,AGAINST,EXPLICIT,"I agree with the following: Barack Obama is criticized for his actions, such as refusing to salute the flag during the national anthem, and his administration is accused of being corrupt and bypassing proper legislative processes.",1934673645,2015-03-29 16:50:33
The government,AGAINST,EXPLICIT,"I agree with the following: The government is criticized for making deals that bypass the Senate and for using executive orders to unilaterally amend laws, which is seen as corrupt and undemocratic.",1934673645,2015-03-29 16:50:33
Social welfare,AGAINST,EXPLICIT,I agree with the following: Open borders are causing overburdened and broke hospitals and local governments.,1905509798,2015-03-13 16:59:26
Healthcare,AGAINST,EXPLICIT,I agree with the following: Open borders are causing overburdened hospitals.,1905509798,2015-03-13 16:59:26
Jobs are (available | good),AGAINST,EXPLICIT,I agree with the following: Open borders are causing depressed wages.,1905509798,2015-03-13 16:59:26
Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: Open borders are causing deaths along highways, depressed wages, crime, and other societal issues.",1905509798,2015-03-13 16:59:26
Journalists,AGAINST,EXPLICIT,I agree with the following: The media source (Breitbart or Daily Beast) is questionable.,1905509798,2015-03-13 16:59:26
Crime,AGAINST,EXPLICIT,I agree with the following: Open borders are causing crime.,1905509798,2015-03-13 16:59:26
America / USA,AGAINST,EXPLICIT,I agree with the following: Open borders are causing declining neighborhoods and other issues in America.,1905509798,2015-03-13 16:59:26
Media,AGAINST,EXPLICIT,I agree with the following: The media source (Breitbart or Daily Beast) is questionable.,1905509798,2015-03-13 16:59:26
Economy is good,AGAINST,EXPLICIT,"I agree with the following: Open borders are causing depressed wages and overburdened systems, indicating a poor economy.",1905509798,2015-03-13 16:59:26
The government,AGAINST,EXPLICIT,"I agree with the following: Open borders are causing societal issues, implying poor government policies.",1905509798,2015-03-13 16:59:26
Christianity,AGAINST,EXPLICIT,"I agree with the following: The priest is failing the faith, indicating a negative stance towards the actions of the priest within the context of Christianity.",2337801188,2015-11-01 17:03:21
Politicians,AGAINST,EXPLICIT,"I agree with the following: The comment criticizes voters for electing politicians, implying dissatisfaction with their actions.",2155116267,2015-07-24 17:39:44
Journalists,AGAINST,EXPLICIT,I agree with the following: Journalists do not live in the real world and do not believe their own press statements.,2113259451,2015-07-02 19:50:43
Media,AGAINST,EXPLICIT,I agree with the following: Media does not live in the real world and does not believe their own press statements.,2113259451,2015-07-02 19:50:43
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: The GOP's expectation of a wave was unfounded.,1622133611,2014-10-06 18:47:57
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: Senator Rubio and the rest of the GOP are lying and flapping their gums for the rubes back home.,2137544931,2015-07-15 11:39:33
Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: The comment criticizes Jorge for wanting to be something extra special rather than just the plain old chief of staff for Jebbie, implying dissatisfaction with Republican politicians.",2238123898,2015-09-05 21:07:40
Politicians,AGAINST,EXPLICIT,"I agree with the following: The comment criticizes Jorge for wanting to be something extra special rather than just the plain old chief of staff for Jebbie, implying dissatisfaction with politicians.",2238123898,2015-09-05 21:07:40
Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: The Republican Party is characterized by deceit, deception, and surrender.",1804597304,2015-01-20 18:07:51
Hillary Clinton,AGAINST,EXPLICIT,"I agree with the following: Hillary Clinton mishandled her emails, leading to security breaches.",1887691979,2015-03-04 21:40:39
Military,AGAINST,EXPLICIT,I agree with the following: The U.S. should not have intervened in World War I as it was a dynastic European squabble.,1567364699,2014-08-31 13:11:03
America / USA,AGAINST,EXPLICIT,I agree with the following: The U.S. involvement in World War I was not in our national interest.,1567364699,2014-08-31 13:11:03
Republicans (GOP),AGAINST,EXPLICIT,I agree with the following: The establishment Republicans are having a major temper tantrum over the rise of Trump.,2545650608,2016-03-01 16:39:07
Elites,AGAINST,EXPLICIT,I agree with the following: Establishment elites are having a major temper tantrum over the rise of Trump.,2545650608,2016-03-01 16:39:07
Sarah Palin,AGAINST,EXPLICIT,"I agree with the following: Sarah Palin is referred to as 'prole Palin,' indicating a negative view.",2545650608,2016-03-01 16:39:07
Democrats,FAVOR,EXPLICIT,"I agree with the following: Buckley Jr voted for Obama, indicating support for Democrats.",2545650608,2016-03-01 16:39:07
Barack Obama,FAVOR,EXPLICIT,"I agree with the following: Buckley Jr voted for Obama, indicating support.",2545650608,2016-03-01 16:39:07
Conservatives,AGAINST,EXPLICIT,I agree with the following: Establishment conservatives are having a major temper tantrum over the rise of Trump.,2545650608,2016-03-01 16:39:07
Donald Trump,FAVOR,EXPLICIT,"I agree with the following: The establishment is having a major temper tantrum over the rise of Trump, indicating support for him.",2545650608,2016-03-01 16:39:07
Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: The original TB case likely came from an illegal/dreamer/new citizen from South of the border, implying a negative stance towards immigration.",1916130385,2015-03-19 14:23:38
Journalists,AGAINST,EXPLICIT,"I agree with the following: The media did not report the origin of the TB case, indicating criticism towards journalists.",1916130385,2015-03-19 14:23:38
Media,AGAINST,EXPLICIT,I agree with the following: The media's lack of reporting on the TB case's origin suggests a negative view of the media.,1916130385,2015-03-19 14:23:38
Crime,AGAINST,IMPLICIT,I agree with the following: The mention of an 'illegal' implies a concern about crime related to immigration.,1916130385,2015-03-19 14:23:38
Sarah Palin,FAVOR,EXPLICIT,I agree with the following: Glenn Beck's criticism of Sarah Palin is hypocritical.,2246883453,2015-09-10 20:07:37
Muslims,AGAINST,IMPLICIT,"I agree with the following: The comment questions the authenticity of the person's Muslim identity, suggesting it might be a false claim.",1857134378,2015-02-15 21:43:33
Terrorism,AGAINST,IMPLICIT,"I agree with the following: The comment downplays the person's connection to ISIS, implying it's not genuine.",1857134378,2015-02-15 21:43:33
Donald Trump,FAVOR,EXPLICIT,I agree with the following: Trump won the election.,2532737017,2016-02-24 15:28:17
Donald Trump,AGAINST,EXPLICIT,I agree with the following: Trump wouldn't win Utah.,2585247384,2016-03-23 17:16:13
Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: The comment criticizes GOP voters in Wisconsin for not taking serious action against Ryan, indicating a negative stance towards the GOP.",2608689961,2016-04-06 03:15:06
Immigration / immigrants,AGAINST,EXPLICIT,"I agree with the following: The comment supports a ban on Muslim immigration, showing opposition to immigration.",2608689961,2016-04-06 03:15:06
Donald Trump,FAVOR,EXPLICIT,"I agree with the following: The comment expresses support for Trump's proposal and criticizes the primary outcome where Trump didn't win, indicating a positive stance towards Trump.",2608689961,2016-04-06 03:15:06
The government,AGAINST,EXPLICIT,I agree with the following: Granting Puerto Rico independence reduces the government's role.,2620611155,2016-04-12 23:15:38
Barack Obama,AGAINST,EXPLICIT,I agree with the following: Obama's nomination of Merrick Garland is bad news.,2573194906,2016-03-16 18:31:54
Republicans (GOP),AGAINST,EXPLICIT,"I agree with the following: The GOP will try to confirm Obama's nominee, and people are upset with the GOP.",2573194906,2016-03-16 18:31:54
Donald Trump,FAVOR,EXPLICIT,I agree with the following: Trump is stopping the GOP from confirming Obama's nominee.,2573194906,2016-03-16 18:31:54
Ted Cruz,FAVOR,EXPLICIT,I agree with the following: Cruz is stopping the GOP from confirming Obama's nominee.,2573194906,2016-03-16 18:31:54
Jeb Bush,AGAINST,EXPLICIT,"I agree with the following: If Jeb were the nominee, the GOP would approve Obama's nominee.",2573194906,2016-03-16 18:31:54
Hillary Clinton,AGAINST,EXPLICIT,I agree with the following: Hillary had better pay off in November with that federal posting.,2579725988,2016-03-20 15:37:48
Social welfare,AGAINST,EXPLICIT,I agree with the following: LBJ created the dependency plantation that has undoubtedly created a multi-generational underclass.,2055378606,2015-05-31 23:45:49
Democrats,AGAINST,IMPLICIT,I agree with the following: LBJ created the dependency plantation that has undoubtedly created a multi-generational underclass.,2055378606,2015-05-31 23:45:49
The government,AGAINST,EXPLICIT,I agree with the following: LBJ created the dependency plantation that has undoubtedly created a multi-generational underclass.,2055378606,2015-05-31 23:45:49
Hillary Clinton,AGAINST,EXPLICIT,"I agree with the following: Hillary Clinton is benefiting from Eric Erickson's shift, which is negative.",2687442267,2016-05-21 03:32:43
Conservatives,AGAINST,EXPLICIT,"I agree with the following: Eric Erickson has dropped from a pretend conservative, indicating a negative view.",2687442267,2016-05-21 03:32:43
America / USA,AGAINST,EXPLICIT,"I agree with the following: The comment criticizes the Democrats' tradition of having the dead vote, implying a negative view of U.S. political practices.",2742654086,2016-06-21 15:19:53
Democrats,AGAINST,EXPLICIT,"I agree with the following: The comment criticizes Democrats for their 'time honored tradition' of having the dead vote, indicating a negative stance.",2742654086,2016-06-21 15:19:53
Military,AGAINST,EXPLICIT,I agree with the following: Every General and Admiral should have resigned over this. The fact that they have not only proves they are not fit to wear the uniform.,2758664807,2016-06-30 15:20:16
Jobs are (available | good),AGAINST,EXPLICIT,I agree with the following: Tracking employees without consent is an invasion of privacy.,2649322057,2016-04-29 15:36:32
Jobs are (available | good),AGAINST,EXPLICIT,"I agree with the following: Jobs have left the country, causing wage stagnation and high unemployment.",2765771354,2016-07-05 02:25:21
Immigration / immigrants,AGAINST,EXPLICIT,I agree with the following: Massive immigration has caused wage stagnation.,2765771354,2016-07-05 02:25:21
Elites,AGAINST,EXPLICIT,I agree with the following: The ruling class is out of touch and has failed.,2765771354,2016-07-05 02:25:21
Journalists,AGAINST,IMPLICIT,I agree with the following: The author of the article is out of touch.,2765771354,2016-07-05 02:25:21
America / USA,AGAINST,EXPLICIT,I agree with the following: The current state of America is problematic.,2765771354,2016-07-05 02:25:21
Media,AGAINST,IMPLICIT,I agree with the following: The media is out of touch.,2765771354,2016-07-05 02:25:21
Economy is good,AGAINST,EXPLICIT,I agree with the following: The economy is not good.,2765771354,2016-07-05 02:25:21
Conservatives,FAVOR,EXPLICIT,I agree with the following: Conservative Americans have the right perspective.,2765771354,2016-07-05 02:25:21
The government,AGAINST,EXPLICIT,I agree with the following: The government is out of touch.,2765771354,2016-07-05 02:25:21
Jobs are (available | good),AGAINST,EXPLICIT,I agree with the following: The state has job-killing regulations.,2677036698,2016-05-15 16:25:25
