post_idx,target,stance,stance_type,explanation
1452368501,Immigration / immigrants,AGAINST,EXPLICIT,"The comment refers to 'illegals' and suggests that certain individuals should 'get their share of their illegals', implying a negative view of immigration and immigrants."
1452368501,Nancy Pelosi,AGAINST,EXPLICIT,"The comment lists Pelosi as one of the individuals who should 'get their share of their illegals', implying a negative view of her."
1452368501,Barack Obama,AGAINST,EXPLICIT,"The comment lists Obama as one of the individuals who should 'get their share of their illegals', implying a negative view of him."
1478185050,Immigration / immigrants,AGAINST,EXPLICIT,The comment states 'SEND THEM HOME!!!' which indicates a clear opposition to the presence of immigrants in the country.
2423543776,Socialism / Communism,AGAINST,EXPLICIT,"The comment mentions ""Socialist/ Communist Dems agenda"", indicating a negative stance towards socialism/communism."
2423543776,Democrats,AGAINST,EXPLICIT,"The comment mentions ""Socialist/ Communist Dems agenda"", indicating a negative stance towards Democrats."
2423543776,White people,FAVOR,EXPLICIT,"The comment mentions ""there won't be a 'safe space' for white Americans"", indicating a positive stance towards white people."
2465873254,Elites,AGAINST,EXPLICIT,"The comment states 'Every other candidate has been bought by big business and Wall Street, including Cruz', implying that elites, in this case, big business and Wall Street, have a negative influence."
2465873254,Donald Trump,FAVOR,EXPLICIT,"The comment states 'Only Trump addressed this despicable issue. Trump is the only one who has the guts to call it like it is.', showing a positive stance towards Trump."
2465873254,Politicians,AGAINST,EXPLICIT,"The comment implies that politicians, except Trump, are 'bought by big business and Wall Street', showing a negative stance towards politicians in general."
2465873254,Immigration / immigrants,AGAINST,EXPLICIT,"The comment discusses an 'illegal immigrant' in a negative context, implying a negative stance towards immigration or immigrants."
2465873254,Cruz,AGAINST,EXPLICIT,"The comment states 'Cruz never talked about deporting the illegals! Only Trump addressed this despicable issue.', implying a negative stance towards Cruz for not addressing the issue."
2480311184,Fox News,AGAINST,EXPLICIT,"The comment states 'But Fox is done', indicating a negative stance towards Fox News."
2492682831,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment implies that the mainstream media is not free, referencing the Third Reich, suggesting that the media is controlled and restricted, as seen in the phrase 'what happened to the freedom of speech????'"
2492682831,Elites,AGAINST,IMPLICIT,"The comment criticizes the control of the media, which can be inferred to be controlled by elites, as seen in the phrase 'what happened to the freedom of speech????'"
2492682831,Fascism / Nazism,AGAINST,EXPLICIT,"The comment references the Third Reich, implying a negative stance towards fascism and Nazism, as seen in the phrase 'I thought Germany isn't under the Third Reich anymore'"
2492682831,Journalists and the press,AGAINST,EXPLICIT,"The comment criticizes the control of the media and the lack of freedom of speech, implying a negative stance towards journalists and the press, as seen in the phrase 'what happened to the freedom of speech????'"
2541115546,Fox News,AGAINST,EXPLICIT,"The comment states 'To the who self identify as conservatives and still watch Fox news, hopefully this article will convince you that Fox news is not fair and balanced', indicating a negative stance towards Fox News."
2550134574,Elites,AGAINST,EXPLICIT,"The commenter refers to 'GOPe hacks' and 'evildoers', indicating a negative stance towards elites."
2550134574,Politicians,AGAINST,EXPLICIT,"The commenter expresses frustration with Romney, implying a negative stance towards politicians."
2550134574,Republicans (GOP),AGAINST,EXPLICIT,"The commenter refers to 'GOPe hacks', indicating a negative stance towards the GOP."
2550134574,Mitt Romney,AGAINST,EXPLICIT,"The commenter questions Romney's authority, implying a negative stance towards him."
2574685977,Mainstream / liberal media,AGAINST,EXPLICIT,The comment mentions 'left wing propaganda from network television' which indicates a negative stance towards mainstream media.
2574685977,Journalists and the press,AGAINST,EXPLICIT,The comment mentions 'left wing propaganda from network television' which indicates a negative stance towards journalists and the press.
2602531608,Elites,AGAINST,EXPLICIT,"The comment mentions 'GOPe politicians' and 'turncoats', implying a negative stance towards elites who opposed Reagan and now support other candidates."
2602531608,Donald Trump,FAVOR,EXPLICIT,"The comment mentions 'anti-Trump', implying that the commenter is in favor of Trump."
2602531608,Politicians,AGAINST,EXPLICIT,"The comment mentions 'GOPe politicians' and 'turncoats', implying a negative stance towards politicians who opposed Reagan and now support other candidates."
2602531608,Republicans (GOP),AGAINST,EXPLICIT,"The comment mentions 'GOPe politicians' and 'turncoats', implying a negative stance towards the Republican establishment."
2639119548,Christians,AGAINST,EXPLICIT,"The comment implies that Ted Cruz is using Christianity for personal gain, which suggests a negative view of Cruz's actions as a Christian."
2639119548,Politicians,AGAINST,EXPLICIT,"The comment accuses Ted Cruz of being a 'phony' and using religion for personal gain, which implies a negative view of politicians in general."
2659301602,Republicans (GOP),AGAINST,EXPLICIT,"The comment mentions ""Kasich and the Bushes not endorsing Donald Trump isn't surprising"", which implies a negative view of the Republican establishment."
2659301602,John Kasich,FAVOR,EXPLICIT,"The comment mentions ""Kasich and the Bushes not endorsing Donald Trump isn't surprising"", which implies a neutral or slightly positive view of Kasich."
2683228781,Politicians,AGAINST,EXPLICIT,"The commenter calls Hillary Clinton a 'worthless woman', indicating a negative stance towards politicians."
2683228781,Democrats,AGAINST,EXPLICIT,"The commenter states that Hillary Clinton wants to put coal miners out of work, indicating a negative stance towards Democrats."
2683228781,Hillary Clinton,AGAINST,EXPLICIT,"The commenter calls Hillary Clinton a 'worthless woman' and criticizes her energy policies, indicating a negative stance towards her."
2683228781,Fossil fuels,FAVOR,EXPLICIT,"The commenter criticizes Hillary Clinton's energy policies, implying that they support fossil fuels."
2713628812,Donald Trump,AGAINST,EXPLICIT,"The comment mentions 'never Trump', indicating the commenter's opposition to Donald Trump."
2713628812,Politicians,AGAINST,EXPLICIT,"The comment calls Paul Ryan a 'useful idiot', indicating the commenter's negative view of politicians."
2713628812,Republicans (GOP),AGAINST,EXPLICIT,"The comment calls Paul Ryan a 'useful idiot' and mentions 'never Trump', indicating the commenter's opposition to the Republican party."
2745775857,Elites,AGAINST,EXPLICIT,"The commenter calls Mark Levin a 'useful idiot to the GOPe', implying a negative stance towards elites."
2745775857,Politicians,AGAINST,EXPLICIT,"The commenter calls Mark Levin a 'traitor', implying a negative stance towards politicians."
2745775857,Republicans (GOP),AGAINST,EXPLICIT,"The commenter mentions 'GOPe', which is a derogatory term for the Republican establishment, implying a negative stance towards the GOP."
2787419518,Democrats,AGAINST,EXPLICIT,The comment states 'Dems are corrupt and incompetent.' This indicates a clear negative stance towards Democrats.
2801742475,Muslims,FAVOR,EXPLICIT,"The comment attempts to justify the Syrian refugee's actions, stating he 'was very despondent because he was denied amnesty' and 'didn't plan to injure others', showing a sympathetic tone towards the individual, who is implied to be Muslim."
2801742475,Terrorism,AGAINST,EXPLICIT,"The comment explicitly states 'No terrorist attack here', indicating the commenter does not believe the incident was a terrorist attack, thus taking a stance against the concept of terrorism being applicable in this situation."
2801742475,Immigration / immigrants,FAVOR,EXPLICIT,"The comment sympathizes with the Syrian refugee, stating he 'was very despondent because he was denied amnesty', showing a favorable stance towards the individual and, by extension, immigrants in similar situations."
2826025211,Elites,AGAINST,EXPLICIT,"The comment mentions 'billionaire donor class' implying a negative view of elites, as evidenced by the phrase 'This political hack is in the pockets of the billionaire donor class'."
2826025211,Politicians,AGAINST,EXPLICIT,"The comment refers to the subject as 'This political hack', indicating a negative view of politicians."
2826025211,Republicans (GOP),AGAINST,EXPLICIT,"The comment implies a negative view of the GOP by referring to a politician as 'This political hack' and mentioning the 'billionaire donor class', suggesting a critical stance towards the party."
2854091777,Hillary Clinton,AGAINST,EXPLICIT,"The comment implies that the Clinton Foundation is a lucrative enterprise for the Clinton family, suggesting a negative view of Hillary Clinton's involvement."
2883901393,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment refers to 'The Hollywood commies' which implies a negative stance towards mainstream or liberal media, suggesting they are self-destructing and afraid of Donald Trump."
2883901393,Elites,AGAINST,EXPLICIT,"The term 'Hollywood commies' can be seen as referring to elites in the entertainment industry, implying a negative stance towards them."
2883901393,Donald Trump,FAVOR,EXPLICIT,"The comment states that 'The Hollywood commies are self destructing! They're soooo afraid of Donald Trump!', implying a positive stance towards Trump as the subject of fear from his opponents."
2883901393,Socialism / Communism,AGAINST,EXPLICIT,"The use of 'commies' in the comment implies a negative stance towards socialism or communism, associating it with Hollywood elites."
2883901393,Journalists and the press,AGAINST,EXPLICIT,"The term 'Hollywood commies' can imply a negative stance towards journalists and the press, especially those perceived as liberal or mainstream."
2903700452,Politicians,AGAINST,EXPLICIT,"The comment mentions 'This arrogant jerk' referring to Obama, a politician, indicating a negative stance."
2903700452,Democrats,AGAINST,EXPLICIT,"The comment criticizes Obama, a Democrat, and his legacy, indicating a negative stance towards Democrats."
2903700452,Barack Obama,AGAINST,EXPLICIT,"The comment calls Obama 'an arrogant jerk' and states that 'his lack of any meaningful achievement' and that he 'ruined America', indicating a strong negative stance."
2918636679,Elites,AGAINST,EXPLICIT,The comment mentions 'corrupt politicians and their cronies' which implies the commenter is against the elites.
2918636679,Politicians,AGAINST,EXPLICIT,The comment mentions 'corrupt politicians' which implies the commenter is against politicians.
2918636679,Immigration / immigrants,AGAINST,EXPLICIT,"The comment mentions 'illegal invaders' and suggests rounding them up and throwing them out of the country, which implies the commenter is against immigration/immigrants."
2918636679,Government,AGAINST,EXPLICIT,The comment mentions 'our corrupt government' which implies the commenter is against the government.
2937305580,Socialism / Communism,AGAINST,EXPLICIT,"The comment mentions 'their socialist politics caused the ratings drop', indicating a negative stance towards socialism."
2937305580,NFL officials,AGAINST,EXPLICIT,"The comment mentions 'Of course, they'd never admit that their socialist politics caused the ratings drop', indicating a negative stance towards NFL officials."
2947188768,Muslims,AGAINST,EXPLICIT,"The comment mentions 'Muslim ME, Muslim Africans' in a list of groups perceived as problematic, implying a negative stance."
2947188768,Democrats,AGAINST,EXPLICIT,"The comment mentions 'Per Hillary, come one, come all!!' in a negative tone, implying opposition to the Democratic party or its policies."
2947188768,Hillary Clinton,AGAINST,EXPLICIT,"The comment mentions 'Per Hillary, come one, come all!!' in a negative tone, directly opposing Hillary Clinton's perceived stance on immigration."
2947188768,Immigration / immigrants,AGAINST,EXPLICIT,"The comment lists various immigrant groups and implies they are problematic, stating 'It's already in America! Now we have... criminal murderers and rapists added to our own murders and rapists.'"
2982915866,Donald Trump,AGAINST,EXPLICIT,The comment mentions 'One can only take so much of the Trump bashing' which indicates a negative stance towards Trump.
2982915866,Fox News,AGAINST,EXPLICIT,"The comment mentions 'The Murdoch brothers are fools for giving Kelly ""north of $20 million""' which indicates a negative stance towards Fox News, as it is owned by the Murdoch brothers."
2996563993,Donald Trump,AGAINST,EXPLICIT,"The comment implies that Trump's administration will impose hefty taxes on companies like Ford, GE, GM, etc., suggesting that the commenter is skeptical about Trump's policies."
2996563993,Taxes are fair,AGAINST,EXPLICIT,"The comment mentions ""hefty taxes"" that companies like Ford, GE, GM, etc. will have to pay under a President Trump administration, implying that the commenter thinks taxes are not fair."
3005124660,Islam,AGAINST,IMPLICIT,"The comment 'Of all places to visit, why Dubai?' implies a negative perception of Dubai, which is an Islamic country, suggesting the commenter is against or cautious of Islam."
3028986779,Muslims,AGAINST,EXPLICIT,"The comment implies that when migrants (potentially Muslims) become voters, they will 'own' Sweden, which suggests a negative stance towards Muslims or migrants having influence in Sweden."
3028986779,Politicians,AGAINST,EXPLICIT,"The comment implies that politicians are allowing migrants to have more influence in Sweden, which suggests a negative stance towards politicians making decisions that benefit migrants."
3028986779,Immigration / immigrants,AGAINST,EXPLICIT,"The comment implies that when migrants become voters, they will 'own' Sweden, which suggests a negative stance towards immigration or migrants having influence in Sweden."
3055841913,Barack Obama,AGAINST,EXPLICIT,The comment states 'We can't get rid of Obama soon enough' which indicates a negative stance towards Barack Obama.
3083870287,Barack Obama,AGAINST,EXPLICIT,"The comment 'Michelle, too' implies that the commenter agrees with the negative sentiment expressed towards Michelle Obama, and by extension, Barack Obama, in the context of the article."
3104339300,Science / Scientists,AGAINST,EXPLICIT,"The comment states 'Science research has produced many kinds DNA testing, including viral, bacterial, cancer cell testing. But no cancer cure...', implying that science has not been effective in finding a cancer cure."
3104339300,Drugs,AGAINST,EXPLICIT,"The comment states 'But no cancer cure...', implying dissatisfaction with the current state of cancer research and treatment, which is related to the pharmaceutical industry and drugs."
3104339300,Healthcare / Medicare,AGAINST,EXPLICIT,"The comment mentions the American Cancer Society and the lack of a cancer cure, implying dissatisfaction with the current state of healthcare."
3119799462,Elites,AGAINST,EXPLICIT,"The comment mentions 'decades of corruption and incompetence of our leaders', implying a negative stance towards elites."
3119799462,Donald Trump,FAVOR,EXPLICIT,"The comment states 'President Trump is trying to undo decades of corruption and incompetence of our leaders', showing support for Trump's actions."
3119799462,Politicians,AGAINST,EXPLICIT,"The comment mentions 'decades of corruption and incompetence of our leaders', implying a negative stance towards politicians."
3132440892,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment mentions 'Hollywood commie bosses', implying a negative view of the mainstream media."
3132440892,Elites,AGAINST,EXPLICIT,"The comment states 'Celebrities see the writing on the wall but are so frightful to accept the inevitable', implying a negative view of elites."
3132440892,Socialism / Communism,AGAINST,EXPLICIT,"The comment mentions 'Hollywood commie bosses', implying a negative view of socialism/communism."
3132440892,Movies,AGAINST,EXPLICIT,"The comment states 'Hollywood is dying', implying a negative view of the movie industry."
3149995561,Elites,AGAINST,EXPLICIT,"The comment 'Merkel is the biggest sucker' implies a negative opinion towards Merkel, who can be considered an elite."
3149995561,Politicians,AGAINST,EXPLICIT,"The comment 'Merkel is the biggest sucker' implies a negative opinion towards Merkel, who is a politician."
3149995561,Government spending,AGAINST,IMPLICIT,"The comment implies that Merkel's decision to pay migrants to leave Germany is a bad idea, which could be related to government spending."
3149995561,Immigration / immigrants,AGAINST,IMPLICIT,"The comment implies that Merkel's decision to pay migrants to leave Germany is a bad idea, which could be related to immigration policies."
3210698257,Donald Trump,AGAINST,EXPLICIT,"The comment states 'What is surprising is that Pres.Trump is not saying enough, other than that he thinks it's a good bill. What???', indicating the commenter is disappointed with Trump's stance on the bill."
3210698257,Politicians,AGAINST,EXPLICIT,"The comment states 'Ryan should get out of the way', indicating the commenter is against Ryan's actions."
3210698257,Healthcare / Medicare,AGAINST,EXPLICIT,"The comment implies that the current healthcare bill is not satisfactory, as the commenter states 'Ryan should get out of the way' and expresses disappointment with Trump's stance on the bill."
3247281903,Elites,AGAINST,EXPLICIT,The comment mentions 'CEOs who inject politics and SJ into business' which implies a negative view of elites.
3247281903,Diversity (DEI),AGAINST,EXPLICIT,The comment mentions 'CEOs who inject politics and SJ into business' which implies a negative view of diversity and inclusion initiatives.
3247281903,Woke,AGAINST,EXPLICIT,The comment mentions 'CEOs who inject politics and SJ into business' which implies a negative view of woke culture.
3247281903,Gay / LGTBQ+,AGAINST,EXPLICIT,The comment mentions 'the transgender bathroom issue' which implies a negative view of LGBTQ+ rights.
3282502461,Immigration / immigrants,AGAINST,EXPLICIT,"The comment states 'It's no surprise these ""illegal immigrant avtivists"" conflate illegal aliens with legal immigrants.' and 'America has been screwed so badly and for so long!' which indicates a negative stance towards immigration and immigrants."
3342831243,Elites,AGAINST,EXPLICIT,The comment mentions 'left wing political judges' which implies that the commenter is against the elite judges who hold liberal views.
3342831243,Donald Trump,FAVOR,IMPLICIT,"The comment criticizes 'left wing political judges' which implies that the commenter supports the opposing political views, potentially aligning with Donald Trump's stance."
3342831243,Politicians,AGAINST,EXPLICIT,"The comment mentions 'left wing political judges' and calls them 'scumbags', which indicates a negative stance towards these politicians."
3342831243,Democrats,AGAINST,IMPLICIT,"The comment criticizes 'left wing political judges', which may imply a negative stance towards the Democratic party, often associated with liberal views."
3342831243,Immigration / immigrants,AGAINST,EXPLICIT,"The comment criticizes Judge Reinhardt for wanting to extend citizens' rights to illegal foreign migrants, indicating a negative stance towards immigration."
3342831243,Capitalism / Liberalism,AGAINST,IMPLICIT,"The comment criticizes 'left wing political judges', which may imply a negative stance towards liberal views, often associated with liberalism."
3342831243,Republicans (GOP),FAVOR,IMPLICIT,"The comment criticizes 'left wing political judges', which implies that the commenter supports the opposing political views, potentially aligning with the Republican party."
3369578601,Politicians,AGAINST,EXPLICIT,"The comment implies a negative stance towards Elizabeth Warren, a politician, by saying 'we have all seen nasty, it's called ELIZABETH WARREN'."
3369578601,Democrats,AGAINST,EXPLICIT,"The comment implies a negative stance towards Elizabeth Warren, a Democrat, by saying 'we have all seen nasty, it's called ELIZABETH WARREN'."
3369578601,Elizabeth Warren,AGAINST,EXPLICIT,"The comment explicitly states 'we have all seen nasty, it's called ELIZABETH WARREN', indicating a negative stance towards Elizabeth Warren."
3416560783,Muslims,AGAINST,IMPLICIT,"The comment mentions that acid attacks are most common in India, Pakistan, Bangladesh, and Afghanistan, which are countries with significant Muslim populations, implying a possible link between the two."
3416560783,Islam,AGAINST,IMPLICIT,"The comment mentions that acid attacks are most common in India, Pakistan, Bangladesh, and Afghanistan, which are countries with significant Muslim populations, implying a possible link between the two."
3416560783,Immigration / immigrants,AGAINST,IMPLICIT,"The comment mentions that acid attacks are most common in India, Pakistan, Bangladesh, and Afghanistan, which are countries with significant immigrant populations in Western countries, implying a possible link between the two."
3450893576,Elites,AGAINST,EXPLICIT,"The commenter mentions 'swamp creatures', which implies a negative view of elites."
3450893576,Donald Trump,FAVOR,EXPLICIT,"The commenter states 'Pres.Trump is an outsider and it's understandable that he could make errors in judgement', which implies a positive view of Trump."
3450893576,Barack Obama,AGAINST,EXPLICIT,"The commenter mentions 'Obama loyalists' and 'leaking against him', which implies a negative view of Obama."
3450893576,Republicans (GOP),FAVOR,EXPLICIT,"The commenter mentions 'GOPe', which is a term used to refer to the Republican establishment, and 'Pres.Trump wanted to so much to reconcile with the GOPe', which implies a positive view of the GOP."
3496997844,Elites,AGAINST,EXPLICIT,"The comment describes Elon Musk as a 'parasitic maggot', indicating a negative stance towards him as an elite figure."
3496997844,Government spending,AGAINST,EXPLICIT,"The comment states that 'Tesla would never have made it without John Q. Public's hard earned money', implying that the commenter is against government spending on companies like Tesla."
3534170723,Sport,FAVOR,EXPLICIT,The comment states 'NFL is about paid entertainment' which implies the commenter values sport as a form of entertainment.
3558116378,Immigration / immigrants,AGAINST,EXPLICIT,"The comment suggests that ICE should start an 'illegal aliens sweep' by raiding Disneyland, implying that the commenter is against immigration and immigrants."
3582392667,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment implies that the left, which is often associated with liberal media, is trying to destroy American institutions."
3582392667,Elites,AGAINST,EXPLICIT,"The comment mentions 'Globalists like Soros' as a force trying to bring the US to its knees, implying an anti-elite stance."
3582392667,Christians,FAVOR,EXPLICIT,"The comment states that America retains its 'christian faith', implying a positive stance towards Christianity."
3582392667,Socialism / Communism,AGAINST,EXPLICIT,"The comment states that 'communists would want to destroy' American institutions, implying an anti-communist stance."
3582392667,Democrats,AGAINST,EXPLICIT,"The comment implies that the left, which is often associated with the Democratic party, is trying to destroy American institutions."
3582392667,Diversity (DEI),AGAINST,EXPLICIT,"The comment implies that the concept of 'gender identity' is a left-wing attempt to destroy American institutions, which could be seen as opposing diversity and inclusion initiatives."
3582392667,Woke,AGAINST,EXPLICIT,The comment's tone and language suggest that the author is opposed to 'woke' culture and the left's attempts to impose their values on American society.
3582392667,Gay / LGTBQ+,AGAINST,EXPLICIT,"The comment implies that the concept of 'gender identity' is a left-wing attempt to destroy American institutions, which could be seen as opposing LGBTQ+ rights."
3582392667,Jesus,FAVOR,EXPLICIT,"The comment states that America retains its 'christian faith', implying a positive stance towards Christianity and Jesus."
3603516675,Immigration / immigrants,AGAINST,EXPLICIT,"The comment states 'Deport them all!' which indicates a clear opposition to immigration or immigrants, specifically referring to 'illegals'."
3603516675,Healthcare / Medicare,AGAINST,EXPLICIT,The comment states 'Stop the free health care to illegals' which indicates a clear opposition to providing healthcare to this group.
3641562072,Leftist,AGAINST,EXPLICIT,"The comment mentions ""the biggest leftist fool"" in a negative context, indicating the commenter's stance against leftists."
3681572504,Elites,AGAINST,EXPLICIT,"The comment mentions 'Open all the gates to Buckingham palace. They are the authority over the virtue signaling CoE', implying that the commenter is against the elites, specifically the Church of England (CoE), and their perceived 'virtue signaling'."
3681572504,Christians,AGAINST,EXPLICIT,"The comment mentions 'virtue signaling CoE', which implies that the commenter is against the Church of England and its perceived hypocrisy, suggesting a negative stance towards some Christians."
3690591739,Donald Trump,AGAINST,EXPLICIT,"The commenter states 'That sounds rubbish' in response to the news article about Donald Trump, indicating a negative stance towards him."
3744852020,Diversity (DEI),FAVOR,EXPLICIT,"The comment 'Absolutely they are!' suggests that the commenter agrees with the decision to cancel the play due to the casting of a white student as Esmeralda, which implies support for diversity and inclusion."
3744852020,Woke,FAVOR,EXPLICIT,"The comment 'Absolutely they are!' suggests that the commenter agrees with the decision to cancel the play, which can be seen as a 'woke' or socially aware decision."
3744852020,White people,AGAINST,EXPLICIT,"The comment 'Absolutely they are!' suggests that the commenter agrees with the decision to cancel the play due to the casting of a white student as Esmeralda, which implies that the commenter is against the idea of a white person playing a role meant for a person of color."
3762493146,Fascism / Nazism,AGAINST,EXPLICIT,"The comment mentions 'Dictators such as Hitler' as an example of individuals who 'seized guns or promoted gun control', implying that the commenter is against fascism and nazism."
3762493146,Democrats,AGAINST,EXPLICIT,"The comment states 'All Democraps won't be disarming themselves. They are only determined in disarming the American citizens', which indicates a clear opposition to Democrats."
3791638252,Donald Trump,FAVOR,EXPLICIT,"The comment mentions 'POTUS administration', which refers to Donald Trump's administration, and suggests that it should investigate Twitter for free speech violations, implying support for Trump's administration."
3791638252,Social media,AGAINST,EXPLICIT,"The comment mentions that 'Twitter should have [its] free speech violations investigated', implying a negative stance towards social media, specifically Twitter, for allegedly violating free speech."
3832517624,Government spending,AGAINST,EXPLICIT,"The comment mentions 'taxpayer subsidies' which implies that the commenter is against government spending, specifically on companies like Tesla."
3832517624,Taxes are fair,AGAINST,EXPLICIT,"The comment mentions 'taxpayer subsidies' which implies that the commenter is against the idea that taxes are fair, specifically when they are used to support companies like Tesla."
3884048511,Politicians,AGAINST,EXPLICIT,"The comment mentions 'Just like Hillary, it seems Michelle is not getting attention from Barack' which implies a negative view of politicians, specifically Michelle and Hillary."
3884048511,Hillary Clinton,AGAINST,EXPLICIT,"The comment mentions 'Just like Hillary' which implies a comparison between Hillary and Michelle, and the overall tone of the comment is negative."
3884048511,Barack Obama,AGAINST,EXPLICIT,The comment mentions 'it seems Michelle is not getting attention from Barack' which implies a negative view of Barack's behavior towards Michelle.
3884048511,Michelle Obama,AGAINST,EXPLICIT,"The comment mentions 'Michelle, the forever first lady? Dream on, Michelle!' which implies a negative view of Michelle's statement."
3924110399,Hillary Clinton,AGAINST,EXPLICIT,"The comment mentions 'Chelsea', which is likely referring to Chelsea Clinton, implying a negative stance towards her mother, Hillary Clinton, as the phrase 'The fruit doesn't fall far from the tree' is often used to suggest a negative trait or behavior is inherited."
3952883141,Elites,AGAINST,EXPLICIT,"The commenter refers to the senators as 'lawless, bought and paid for', indicating a negative stance towards them as elites."
3952883141,Donald Trump,FAVOR,IMPLICIT,"The commenter is against the senators who are opposing Trump's plan, implying they support Trump's stance on the issue."
3952883141,Politicians,AGAINST,EXPLICIT,"The commenter refers to the senators as 'lawless, bought and paid for', indicating a negative stance towards them as politicians."
3952883141,Immigration / immigrants,AGAINST,EXPLICIT,"The commenter is against the senators' plan to stop all border enforcement, implying they are against the idea of allowing immigrants to enter the country without proper enforcement."
3952883141,Republicans (GOP),AGAINST,EXPLICIT,"The commenter refers to the senators as 'GOPe turncoats', indicating a negative stance towards them as Republicans."
3975388305,Mainstream / liberal media,AGAINST,EXPLICIT,"The comment states 'BB should not dignify lying Dan with an article. It's a waste, IMHO.', which implies a negative view of the media outlet (BB) for publishing an article about Dan Rather, a figure associated with mainstream media."
3975388305,Journalists and the press,AGAINST,EXPLICIT,"The comment refers to Dan Rather as 'lying Dan', which indicates a negative view of him as a journalist."
4006814990,Nancy Pelosi,AGAINST,EXPLICIT,The comment states 'I do not want to see Nancy to come back as speaker' is not present but 'Jordan could be a better speaker' implies the commenter is not in favor of Nancy Pelosi.
4006814990,Republicans (GOP),FAVOR,EXPLICIT,"The comment mentions 'Jordan could be a better speaker' and Devin Nunes as 'a very courageous man', indicating a positive stance towards some Republican figures."
4036979838,Barack Obama,AGAINST,EXPLICIT,"The comment refers to Barack Obama as the 'former liar-in-chief', which indicates a negative stance towards him."
